Time,Stem_elong,Stem_thick,Cum_trusses,stem_dens ,plant_dens
44189.00,18.7,8.3,NaN,3.6,1.8
43830.00,29.9,11.7,1.3,3.6,1.8
43838.00,35.8,13.6,3.2,3.6,1.8
43845.00,35.1,13.5,4.7,3.6,1.8
43852.00,34.7,12.6,5.8,3.6,1.8
43859.00,32.4,11.3,6.9,3.6,1.8
43866.00,29.4,10.9,8.1,3.6,1.8
43873.00,30.8,10.7,9.2,3.6,1.8
43880.00,29.1,11.3,10.4,3.6,1.8
43887.00,36.5,11.2,11.6,3.6,1.8
43894.00,33.9,10.6,13.1,3.6,1.8
43901.00,36.5,11.7,14.5,3.6,1.8
43908.00,33.7,11.3,15.9,4.5,1.8
43915.00,35.8,11.4,17.1,4.5,1.8
43922.00,34.9,11.7,18.5,4.5,1.8
43929.00,35.7,11.3,19.7,4.5,1.8
43936.00,30.3,10.8,21.3,4.5,1.8
43943.00,14,9.8,22,4.5,1.8
43950.00,NaN,NaN,22,4.5,1.8
43957.00,NaN,NaN,NaN,4.5,1.8
43964.00,NaN,NaN,NaN,4.5,1.8
43971.00,NaN,NaN,NaN,4.5,1.8
43978.00,NaN,NaN,NaN,4.5,1.8
