time,AssimLight,BlackScr,CO2air,Cum_irr,EC_drain_PC,EnScr,HumDef,PipeGrow,PipeLow,Rhair,Tair,Tot_PAR,Tot_PAR_Lamps,VentLee,Ventwind,assim_sp,assim_vip,co2_dos,co2_sp,co2_vip,dx_sp,dx_vip,int_blue_sp,int_blue_vip,int_farred_sp,int_farred_vip,int_red_sp,int_red_vip,int_white_sp,int_white_vip,pH_drain_PC,scr_blck_sp,scr_blck_vip,scr_enrg_sp,scr_enrg_vip,t_grow_min_sp,t_grow_min_vip,t_heat_sp,t_heat_vip,t_rail_min_sp,t_rail_min_vip,t_vent_sp,t_ventlee_vip,t_ventwind_vip,water_sup,water_sup_intervals_sp_min,water_sup_intervals_vip_min,window_pos_lee_sp,window_pos_lee_vip
43815,100,35,509,31.56,0.33,96,8.8,0,49.9,51.9,21,0,0,0.8,0.4,NaN,100,NaN,NaN,400,NaN,4.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.54,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,263,NaN,10,NaN,1.2
43815.00347,100,85.00000074,483.9999994,31.8,0.330000001,96,9.169999993,0,48.49999989,51.30000006,21.50000001,0,0,0.8,0.4,NaN,100,6.42E-05,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.540000001,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,265,NaN,10,NaN,1.2
43815.00694,100,95.99999852,475.0000012,31.8,0.339999999,96,9.060000015,0,46.80000023,52.19999988,21.59999999,0,0,0.8,0.4,NaN,100,3.21E-05,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.549999999,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,265,NaN,10,NaN,1.2
43815.01042,100,96,500.9999974,32.03999998,0.330000001,96,8.450000061,0,45.20000016,54.59999976,21.30000003,0,0,0.8,0.4,NaN,100,0.00284697,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.540000001,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,266.9999998,NaN,10,NaN,1.2
43815.01389,100,96,487.0000005,32.04,0.33,96,8.539999997,0,43.80000005,54.40000001,21.4,0,0,0.8,0.4,NaN,100,0.002170942,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.53,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,267,NaN,10,NaN,1.2
43815.01736,100,96,472.0000006,32.28,0.33,96,8.509999998,0,42.39999995,54.3,21.3,0,0,0.8,0.4,NaN,100,0.001494578,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.54,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,269,NaN,10,NaN,1.2
43815.02083,100,96,490.9999996,32.28000002,0.330000001,96,8.459999989,0,41.00000005,54.30000003,21.19999999,0,0,0.8,0.4,NaN,100,0.000818357,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.539999999,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,269.0000002,NaN,10,NaN,1.2
43815.02431,100,96,487.0000005,32.51999997,0.339999999,96,8.350000015,0,41.49999993,54.59999996,21.10000001,0,0,0.8,0.4,NaN,100,0.000879964,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.530000001,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,270.9999997,NaN,10,NaN,1.2
43815.02778,100,96,489.9999998,32.52,0.330000001,96,8.240000007,0,43.19999989,54.69999999,20.90000001,0,0,0.8,0.4,NaN,100,0.000941642,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.539999999,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,271,NaN,10,NaN,1.2
43815.03125,100,96,506,32.76,0.33,96,8.27,0,44.4,54.8,21,0,0,0.8,0.4,NaN,100,0.001003306,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.54,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,273,NaN,10,NaN,1.2
43815.03472,100,96,498.9999998,32.76000002,0.33,96,8.210000005,0,45.39999993,54.59999999,20.80000001,0,0,0.8,0.4,NaN,100,0.000916563,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.539999999,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,273.0000001,NaN,10,NaN,1.2
43815.03819,100,96,496.0000004,32.99999997,0.33,96,8.279999991,0,44.40000013,54.50000001,20.89999999,0,0,0.8,0.4,NaN,100,0.000829806,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.530000001,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,274.9999997,NaN,10,NaN,1.2
43815.04167,100,96,511.9999984,33,0.33,96,8.289999999,0,43.20000012,54.40000001,20.9,0,0,0.8,0.4,NaN,100,0.000743048,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.539999999,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,275,NaN,10,NaN,1.2
43815.04514,100,96,505.0000002,33.23999999,0.33,96,8.160000004,0,43.00000001,54.59999999,20.70000001,0,0,0.8,0.4,NaN,100,0.000579749,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.55,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,276.9999999,NaN,10,NaN,1.2
43815.04861,100,96,499.0000002,33.24000001,0.34,96,8.080000001,0,45.10000011,54.8,20.6,0,0,0.8,0.4,NaN,100,0.000416443,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.54,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,277.0000001,NaN,10,NaN,1.2
43815.05208,100,96,505.9999992,33.48,0.33,96,8.100000008,0,48.40000005,54.69999998,20.60000001,0,0,0.8,0.4,NaN,100,0.000253164,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.53,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,279,NaN,10,NaN,1.2
43815.05556,100,96,498.0000011,33.48,0.33,96,8.179999989,0,48.89999993,54.50000003,20.69999999,0,0,0.8,0.4,NaN,100,0.000233267,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.53,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,279,NaN,10,NaN,1.2
43815.05903,100,96,506.9999994,33.71999998,0.33,96,8.319999991,0,47.80000007,54.00000003,20.79999999,0,0,0.8,0.4,NaN,100,0.000213383,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.53,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,280.9999999,NaN,10,NaN,1.2
43815.0625,100,96,501,33.72,0.33,96,8.39,0,45.9,53.6,20.8,0,0,0.8,0.4,NaN,100,0.000193506,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.54,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,281,NaN,10,NaN,1.2
43815.06597,100,96,498.000001,33.96,0.33,96,8.339999995,0,44.70000009,53.60000001,20.69999999,0,0,0.8,0.4,NaN,100,0.000236927,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.530000001,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,283,NaN,10,NaN,1.2
43815.06944,100,96,512.999998,33.96,0.33,96,8.260000011,0,46.09999981,53.79999997,20.60000001,0,0,0.8,0.4,NaN,100,0.000280353,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.539999999,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,283,NaN,10,NaN,1.2
43815.07292,100,96,513.9999999,34.19999998,0.33,96,8.240000002,0,50.99999951,53.89999999,20.6,0,0,0.8,0.4,NaN,100,0.00032378,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.549999999,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,284.9999998,NaN,10,NaN,1.2
43815.07639,100,96,491.0000008,34.2,0.33,96,8.389999995,0,51.19999999,53.60000001,20.79999999,0,0,0.8,0.4,NaN,100,0.000368855,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.54,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,285,NaN,10,NaN,1.2
43815.07986,100,96,505.0000007,34.44,0.33,96,8.550000002,0,49.79999993,52.99999999,20.9,0,0,0.8,0.4,NaN,100,0.000413929,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.55,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,287,NaN,10,NaN,1.2
43815.08333,100,96,524.999998,34.43999655,0.33,96,8.599999994,0,47.59999991,52.70000001,20.89999999,0,0,0.8,0.4,NaN,100,0.000458984,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.54,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,286.9999712,NaN,10,NaN,1.2
43815.08681,100,96,505.0000027,0.120004603,0.33,96,8.540000008,0,46.70000012,52.79999999,20.80000001,0,0,0.8,0.4,NaN,100,0.00039854,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.54,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,1.000038356,NaN,10,NaN,1.2
43815.09028,100,96,510.9999996,0.12,0.33,96,8.520000001,0,47.29999996,52.89999999,20.8,0,0,0.8,0.4,NaN,100,0.000338086,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.54,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,1,NaN,10,NaN,1.2
43815.09375,100,96,507,0.36,0.34,96,8.48,0,48.5,53.1,20.8,0,0,0.8,0.4,NaN,100,0.000277629,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.54,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,3,NaN,10,NaN,1.2
43815.09722,100,96,516.9999994,0.360000016,0.33,96,8.460000003,0,49.80000005,53.19999999,20.8,0,0,0.8,0.4,NaN,100,0.000185091,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.530000001,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,3.000000134,NaN,10,NaN,1.2
43815.10069,100,96,508.0000012,0.599999968,0.33,96,8.499999995,0,50.59999989,53.00000003,20.8,0,0,0.8,0.4,NaN,100,9.25E-05,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.539999999,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,4.999999732,NaN,10,NaN,1.2
43815.10417,100,96,501.0000007,0.6,0.33,96,8.579999992,0,50.40000002,52.80000002,20.89999999,0,0,0.8,0.4,NaN,100,8.89E-09,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.54,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,5,NaN,10,NaN,1.2
43815.10764,100,96,501,0.839999992,0.33,96,8.689999996,0,50.20000001,52.50000001,21,0,0,0.8,0.4,NaN,100,0,NaN,400,NaN,4.32,1000,NaN,0,NaN,0,NaN,0,NaN,6.54,NaN,96,NaN,96,NaN,10,NaN,21,NaN,0,NaN,25,26,6.999999933,NaN,10,NaN,1.2
