time,AssimLight,BlackScr,CO2air,Cum_irr,EC_drain_PC,EnScr,HumDef,PipeGrow,PipeLow,Rhair,Tair,Tot_PAR,Tot_PAR_Lamps,VentLee,Ventwind,assim_sp,assim_vip,co2_dos,co2_sp,co2_vip,dx_sp,dx_vip,int_blue_sp,int_blue_vip,int_farred_sp,int_farred_vip,int_red_sp,int_red_vip,int_white_sp,int_white_vip,pH_drain_PC,scr_blck_sp,scr_blck_vip,scr_enrg_sp,scr_enrg_vip,t_grow_min_sp,t_grow_min_vip,t_heat_sp,t_heat_vip,t_rail_min_sp,t_rail_min_vip,t_vent_sp,t_ventlee_vip,t_ventwind_vip,water_sup,water_sup_intervals_sp_min,water_sup_intervals_vip_min,window_pos_lee_sp,window_pos_lee_vip
43815,0,35,468,0.26,1.78,96,7.32,34.5,50.4,60.7,21.3,0,0,0.8,0,NaN,0,NaN,NaN,400,NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.63,NaN,96,NaN,96,NaN,30,NaN,21,NaN,0,NaN,25,26,2,NaN,1000,NaN,1.2
43815.00347,0,85.00000074,508.9999993,0.52,1.78,96,7.080000027,33.19999995,48.69999989,62.39999993,21.50000003,0,0,0.8,0,NaN,0,0.001405203,NaN,400,NaN,2.2,0,NaN,0,NaN,700,NaN,700,NaN,6.63,NaN,96,NaN,96,NaN,30,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.00694,0,95.99999852,498.0000015,0.52,1.78,96,7.479999946,32.40000011,47.10000021,61.40000013,21.99999993,0,0,0.8,0,NaN,0,0.001310646,NaN,400,NaN,2.2,0,NaN,0,NaN,700,NaN,700,NaN,6.63,NaN,96,NaN,96,NaN,30,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.01042,0,96,491.0000007,0.52,1.760000002,96,6.550000094,31.70000007,45.40000017,64.79999966,21.30000007,0,0,0.8,0,NaN,0,1.72E-05,NaN,400,NaN,2.2,0,NaN,0,NaN,700,NaN,700,NaN,6.620000001,NaN,96,NaN,96,NaN,30,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.01389,0,95.40000002,514.9999992,0.52,1.779999999,95.40000002,6.709999995,30.90000003,44.20000004,64.60000001,21.59999999,0,0,0.8,0,NaN,0,1.87E-05,NaN,400,NaN,2.2,0,NaN,0,NaN,700,NaN,700,NaN,6.63,NaN,96,NaN,96,NaN,30,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.01736,0,96,487.0000003,0.52,1.76,96,7.110000007,30.19999998,42.69999996,62.69999997,21.7,0,0,0.8,0,NaN,0,2.03E-05,NaN,400,NaN,2.2,0,NaN,0,NaN,700,NaN,700,NaN,6.62,NaN,96,NaN,96,NaN,30,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.02083,0,96,495.0000007,0.52,1.76,96,7.319999959,29.59999999,41.49999997,61.80000011,21.79999995,0,0,0.8,0,NaN,0,2.19E-05,NaN,400,NaN,2.2,0,NaN,0,NaN,700,NaN,700,NaN,6.63,NaN,96,NaN,96,NaN,30,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.02431,0,96,501.9999991,0.52,1.76,96,6.910000055,29.50000001,41.20000004,62.89999985,21.30000007,0,0,0.8,0,NaN,0,2.29E-05,NaN,400,NaN,2.2,0,NaN,0,NaN,700,NaN,700,NaN,6.63,NaN,96,NaN,96,NaN,30,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.02778,0,96,498.0000003,0.52,1.779999999,96,7.019999993,30.49999993,43.49999985,62.30000004,21.3,0,0,0.8,0,NaN,0,2.38E-05,NaN,400,NaN,2.2,0,NaN,0,NaN,700,NaN,700,NaN,6.63,NaN,96,NaN,96,NaN,30,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.03125,0,96,492,0.52,1.76,96,7.01,30.7,45,62.1,21.2,0,0,0.8,0,NaN,0,2.48E-05,NaN,400,NaN,2.2,0,NaN,0,NaN,700,NaN,700,NaN,6.63,NaN,96,NaN,96,NaN,30,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.03472,0,96,497.9999996,0.52,1.76,96,7.169999985,29.7,43.39999991,61.50000005,21.29999999,0,0,0.8,0,NaN,0,2.44E-05,NaN,400,NaN,2.2,0,NaN,0,NaN,700,NaN,700,NaN,6.63,NaN,96,NaN,96,NaN,30,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.03819,0,96,492.0000008,0.52,1.76,96,6.940000031,29.7,42.00000019,62.29999989,21.10000003,0,0,0.8,0,NaN,0,2.40E-05,NaN,400,NaN,2.2,0,NaN,0,NaN,700,NaN,700,NaN,6.63,NaN,96,NaN,96,NaN,30,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
