time,EC_slab1,EC_slab2,WC_slab1,WC_slab2,t_slab1,t_slab2
43815.00,NaN,NaN,NaN,NaN,NaN,NaN
43815.00,NaN,NaN,NaN,NaN,NaN,NaN
43815.01,NaN,NaN,NaN,NaN,NaN,NaN
43815.01,NaN,NaN,NaN,NaN,NaN,NaN
43815.01,NaN,NaN,NaN,NaN,NaN,NaN
43815.02,NaN,NaN,NaN,NaN,NaN,NaN
43815.02,NaN,NaN,NaN,NaN,NaN,NaN
43815.02,NaN,NaN,NaN,NaN,NaN,NaN
43815.03,NaN,NaN,NaN,NaN,NaN,NaN
43815.03,NaN,NaN,NaN,NaN,NaN,NaN
43815.03,NaN,NaN,NaN,NaN,NaN,NaN
43815.04,NaN,NaN,NaN,NaN,NaN,NaN
43815.04,NaN,NaN,NaN,NaN,NaN,NaN
43815.05,NaN,NaN,NaN,NaN,NaN,NaN
43815.05,NaN,NaN,NaN,NaN,NaN,NaN
43815.05,NaN,NaN,NaN,NaN,NaN,NaN
43815.06,NaN,NaN,NaN,NaN,NaN,NaN
43815.06,NaN,NaN,NaN,NaN,NaN,NaN
43815.06,NaN,NaN,NaN,NaN,NaN,NaN
43815.07,NaN,NaN,NaN,NaN,NaN,NaN
43815.07,NaN,NaN,NaN,NaN,NaN,NaN
43815.07,NaN,NaN,NaN,NaN,NaN,NaN
43815.08,NaN,NaN,NaN,NaN,NaN,NaN
43815.08,NaN,NaN,NaN,NaN,NaN,NaN
43815.08,NaN,NaN,NaN,NaN,NaN,NaN
43815.09,NaN,NaN,NaN,NaN,NaN,NaN
43815.09,NaN,NaN,NaN,NaN,NaN,NaN
43815.09,NaN,NaN,NaN,NaN,NaN,NaN
43815.10,NaN,NaN,NaN,NaN,NaN,NaN
43815.10,NaN,NaN,NaN,NaN,NaN,NaN
43815.10,NaN,NaN,NaN,NaN,NaN,NaN
43815.11,NaN,NaN,NaN,NaN,NaN,NaN
43815.11,NaN,NaN,NaN,NaN,NaN,NaN
43815.11,NaN,NaN,NaN,NaN,NaN,NaN
43815.12,NaN,NaN,NaN,NaN,NaN,NaN
43815.12,NaN,NaN,NaN,NaN,NaN,NaN
43815.13,NaN,NaN,NaN,NaN,NaN,NaN
43815.13,NaN,NaN,NaN,NaN,NaN,NaN
43815.13,NaN,NaN,NaN,NaN,NaN,NaN
43815.14,NaN,NaN,NaN,NaN,NaN,NaN
43815.14,NaN,NaN,NaN,NaN,NaN,NaN
43815.14,NaN,NaN,NaN,NaN,NaN,NaN
43815.15,NaN,NaN,NaN,NaN,NaN,NaN
43815.15,NaN,NaN,NaN,NaN,NaN,NaN
43815.15,NaN,NaN,NaN,NaN,NaN,NaN
43815.16,NaN,NaN,NaN,NaN,NaN,NaN
43815.16,NaN,NaN,NaN,NaN,NaN,NaN
43815.16,NaN,NaN,NaN,NaN,NaN,NaN
43815.17,NaN,NaN,NaN,NaN,NaN,NaN
43815.17,NaN,NaN,NaN,NaN,NaN,NaN
43815.17,NaN,NaN,NaN,NaN,NaN,NaN
43815.18,NaN,NaN,NaN,NaN,NaN,NaN
43815.18,NaN,NaN,NaN,NaN,NaN,NaN
43815.18,NaN,NaN,NaN,NaN,NaN,NaN
43815.19,NaN,NaN,NaN,NaN,NaN,NaN
43815.19,NaN,NaN,NaN,NaN,NaN,NaN
43815.19,NaN,NaN,NaN,NaN,NaN,NaN
43815.20,NaN,NaN,NaN,NaN,NaN,NaN
43815.20,NaN,NaN,NaN,NaN,NaN,NaN
43815.20,NaN,NaN,NaN,NaN,NaN,NaN
43815.21,NaN,NaN,NaN,NaN,NaN,NaN
43815.21,NaN,NaN,NaN,NaN,NaN,NaN
43815.22,NaN,NaN,NaN,NaN,NaN,NaN
43815.22,NaN,NaN,NaN,NaN,NaN,NaN
43815.22,NaN,NaN,NaN,NaN,NaN,NaN
43815.23,NaN,NaN,NaN,NaN,NaN,NaN
43815.23,NaN,NaN,NaN,NaN,NaN,NaN
43815.23,NaN,NaN,NaN,NaN,NaN,NaN
43815.24,NaN,NaN,NaN,NaN,NaN,NaN
43815.24,NaN,NaN,NaN,NaN,NaN,NaN
43815.24,NaN,NaN,NaN,NaN,NaN,NaN
43815.25,NaN,NaN,NaN,NaN,NaN,NaN
43815.25,NaN,NaN,NaN,NaN,NaN,NaN
43815.25,NaN,NaN,NaN,NaN,NaN,NaN
43815.26,NaN,NaN,NaN,NaN,NaN,NaN
43815.26,NaN,NaN,NaN,NaN,NaN,NaN
43815.26,NaN,NaN,NaN,NaN,NaN,NaN
43815.27,NaN,NaN,NaN,NaN,NaN,NaN
43815.27,NaN,NaN,NaN,NaN,NaN,NaN
43815.27,NaN,NaN,NaN,NaN,NaN,NaN
43815.28,NaN,NaN,NaN,NaN,NaN,NaN
43815.28,NaN,NaN,NaN,NaN,NaN,NaN
43815.28,NaN,NaN,NaN,NaN,NaN,NaN
43815.29,NaN,NaN,NaN,NaN,NaN,NaN
43815.29,NaN,NaN,NaN,NaN,NaN,NaN
43815.30,NaN,NaN,NaN,NaN,NaN,NaN
43815.30,NaN,NaN,NaN,NaN,NaN,NaN
43815.30,NaN,NaN,NaN,NaN,NaN,NaN
43815.31,NaN,NaN,NaN,NaN,NaN,NaN
43815.31,NaN,NaN,NaN,NaN,NaN,NaN
43815.31,NaN,NaN,NaN,NaN,NaN,NaN
43815.32,NaN,NaN,NaN,NaN,NaN,NaN
43815.32,NaN,NaN,NaN,NaN,NaN,NaN
43815.32,NaN,NaN,NaN,NaN,NaN,NaN
43815.33,NaN,NaN,NaN,NaN,NaN,NaN
43815.33,NaN,NaN,NaN,NaN,NaN,NaN
43815.33,NaN,NaN,NaN,NaN,NaN,NaN
43815.34,NaN,NaN,NaN,NaN,NaN,NaN
43815.34,NaN,NaN,NaN,NaN,NaN,NaN
43815.34,NaN,NaN,NaN,NaN,NaN,NaN
43815.35,NaN,NaN,NaN,NaN,NaN,NaN
43815.35,NaN,NaN,NaN,NaN,NaN,NaN
43815.35,NaN,NaN,NaN,NaN,NaN,NaN
43815.36,NaN,NaN,NaN,NaN,NaN,NaN
