Time,Stem_elong,Stem_thick,Cum_trusses,stem_dens ,plant_dens
44189.00,15,8,NaN,2.6,1.3
43830.00,20.5,10.6,1,2.6,1.3
43838.00,28.1,13.2,2.9,2.6,1.3
43845.00,35.9,13.5,4.3,2.6,1.3
43852.00,33.3,12.1,5.8,3.9,1.3
43859.00,31.3,12,6.7,3.9,1.3
43866.00,27.1,12.5,7.6,3.9,1.3
43873.00,28,11.9,8.7,3.9,1.3
43880.00,29.5,11.7,9.9,3.9,1.3
43887.00,28,10.7,11.3,3.9,1.3
43894.00,29.2,11.2,12.4,3.9,1.3
43901.00,30.6,11.3,13.6,3.9,1.3
43908.00,32.3,9.7,15.2,3.9,1.3
43915.00,27.3,9.4,16.3,3.9,1.3
43922.00,28,9.3,17.5,3.9,1.3
43929.00,32.2,9.9,19.1,3.9,1.3
43936.00,36.8,10.7,20.1,5.2,1.3
43943.00,33.7,9.6,21.5,5.2,1.3
43950.00,NaN,NaN,22,5.2,1.3
43957.00,NaN,NaN,NaN,5.2,1.3
43964.00,NaN,NaN,NaN,5.2,1.3
43971.00,NaN,NaN,NaN,5.2,1.3
43978.00,NaN,NaN,NaN,5.2,1.3
