time,AssimLight,BlackScr,CO2air,Cum_irr,EC_drain_PC,EnScr,HumDef,PipeGrow,PipeLow,Rhair,Tair,Tot_PAR,Tot_PAR_Lamps,VentLee,Ventwind,assim_sp,assim_vip,co2_dos,co2_sp,co2_vip,dx_sp,dx_vip,int_blue_sp,int_blue_vip,int_farred_sp,int_farred_vip,int_red_sp,int_red_vip,int_white_sp,int_white_vip,pH_drain_PC,scr_blck_sp,scr_blck_vip,scr_enrg_sp,scr_enrg_vip,t_grow_min_sp,t_grow_min_vip,t_heat_sp,t_heat_vip,t_rail_min_sp,t_rail_min_vip,t_vent_sp,t_ventlee_vip,t_ventwind_vip,water_sup,water_sup_intervals_sp_min,water_sup_intervals_vip_min,window_pos_lee_sp,window_pos_lee_vip
43815,0,35,474,0.1734,1.9,96,7.12,71,58.4,59.7,20.4,0,0,1.3,0,NaN,0,NaN,NaN,600,NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.31,NaN,96,NaN,96,NaN,80,NaN,21,NaN,0,NaN,25,26,2,NaN,1000,NaN,1.2
43815.00347,0,85.00000074,470.0000008,0.3468,1.899999999,96,7.010000008,55.89999981,57.50000032,60.80000005,20.60000004,0,0,1.3,0,NaN,0,0.000457672,NaN,600,NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,700,NaN,7.27,NaN,96,NaN,96,NaN,80,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.00694,0,95.99999852,481.9999984,0.3468,1.890000001,96,7.129999984,53.10000038,62.29999936,61.49999991,21.19999992,0,0,1.3,0,NaN,0,0.000324944,NaN,600,NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,700,NaN,7.27,NaN,96,NaN,96,NaN,80,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.01042,0,96,472.000001,0.3468,1.909999998,96,6.820000031,69.9999983,60.10000022,62.29999992,20.80000004,0,0,1.3,0,NaN,0,0.001241552,NaN,600,NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,700,NaN,7.27,NaN,96,NaN,96,NaN,80,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.01389,0,96,469.0000001,0.3468,1.9,96,6.700000004,69.30000002,57.0000001,63.59999996,21.09999999,0,0,1.3,0,NaN,0,0.000965049,NaN,600,NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,700,NaN,7.27,NaN,96,NaN,96,NaN,80,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.01736,0,96,479.0000003,0.3468,1.9,96,7.369999972,56.99999971,54.19999992,61.1000001,21.59999998,0,0,1.3,0,NaN,0,0.000688431,NaN,600,NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,700,NaN,7.27,NaN,96,NaN,96,NaN,80,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.02083,0,96,486.9999998,0.3468,1.890000001,96,6.530000042,48.30000113,51.8999998,64.0999999,20.90000006,0,0,1.3,0,NaN,0,0.00041185,NaN,600,NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,700,NaN,7.27,NaN,96,NaN,96,NaN,80,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.02431,0,96,485.0000003,0.3468,1.899999999,96,6.949999944,59.4999985,49.90000027,63.10000013,21.49999992,0,0,1.3,0,NaN,0,0.000324282,NaN,600,NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,700,NaN,7.27,NaN,96,NaN,96,NaN,80,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.02778,0,96,483.0000001,0.3468,1.9,96,7.309999976,69.39999934,47.90000013,61.40000011,21.59999999,0,0,1.3,0,NaN,0,0.000236733,NaN,600,NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,700,NaN,7.27,NaN,96,NaN,96,NaN,80,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.03125,0,96,476,0.3468,1.89,96,6.62,63.4,46.6,64,21.1,0,0,1.3,0,NaN,0,0.000149189,NaN,600,NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,700,NaN,7.27,NaN,96,NaN,96,NaN,80,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
