Time,Stem_elong,Stem_thick,Cum_trusses,stem_dens ,plant_dens,,,,,
44189.00,14.2,7.2,N/A,N/A,1.4,,,,,
43830.00,26.6,9.6,1.2,4,1.4,,,,,
43838.00,35.9,12.0,3.1,4,1.4,,,,,
43845.00,33.1,11.8,4.7,4,1.4,,,,,
43852.00,38.8,11.3,6.0,4,1.4,,,,,
43859.00,35.2,11.4,7.1,4,1.4,,,,,
43866.00,39.0,11.0,8.7,4,1.4,,,,,
43873.00,38.3,10.7,9.9,4,1.4,,,,,
43880.00,36.3,10.7,11.2,4,1.4,,,,,
43887.00,33.7,10.8,12.4,4,1.4,,,,,
43894.00,31.3,10.4,13.7,4,1.4,,,,,
43901.00,35.4,11.0,15.1,4,1.4,,,,,
43908.00,35.1,10.5,16.6,4,1.4,,,,,
43915.00,31.6,10.1,17.9,4,1.4,,,,,
43922.00,33.5,10.5,19.6,4,1.4,,,,,
43929.00,32.4,8.7,21.0,4,1.4,,,,,
43936.00,32.8,8.3,22.3,8,1.4,,,,,
43943.00,8.5,6.7,23.2,8,1.4,,,,,
43950.00,N/A,N/A,23.2,8,1.4,,,,,
43957.00,N/A,N/A,N/A,8,1.4,,,,,
43964.00,N/A,N/A,N/A,8,1.4,,,,,
43971.00,N/A,N/A,N/A,8,1.4,,,,,
43978.00,N/A,N/A,N/A,8,1.4,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
