time,AssimLight,BlackScr,CO2air,Cum_irr,EC_drain_PC,EnScr,HumDef,PipeGrow,PipeLow,Rhair,Tair,Tot_PAR,Tot_PAR_Lamps,VentLee,Ventwind,assim_sp,assim_vip,co2_dos,co2_sp,co2_vip,dx_sp,dx_vip,int_blue_sp,int_blue_vip,int_farred_sp,int_farred_vip,int_red_sp,int_red_vip,int_white_sp,int_white_vip,pH_drain_PC,scr_blck_sp,scr_blck_vip,scr_enrg_sp,scr_enrg_vip,t_grow_min_sp,t_grow_min_vip,t_heat_sp,t_heat_vip,t_rail_min_sp,t_rail_min_vip,t_vent_sp,t_ventlee_vip,t_ventwind_vip,water_sup,water_sup_intervals_sp_min,water_sup_intervals_vip_min,window_pos_lee_sp,window_pos_lee_vip
43815,0,35,472,0.3548,3.98,100,7.17,0,45.2,60.6,20.9,0,0,0.8,0,NaN,0,NaN,NaN,400,NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.27,NaN,96,NaN,100,NaN,10,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.00347,0,85.00000074,500.9999992,0.5322,3.99,100,6.94000002,0,43.59999991,61.39999997,20.70000003,0,0,0.8,0,NaN,0,0.000341783,NaN,400,NaN,2.2,0,NaN,0,NaN,0,NaN,0,NaN,6.28,NaN,96,NaN,100,NaN,10,NaN,21,NaN,0,NaN,25,26,6,NaN,1000,NaN,1.2
43815.00694,0,95.99999852,489.0000016,0.5322,3.99,100,7.23999996,0,42.30000017,60.90000007,21.19999993,0,0,0.8,0,NaN,0,0.000360971,NaN,400,NaN,2.2,0,NaN,0,NaN,0,NaN,0,NaN,6.28,NaN,96,NaN,100,NaN,10,NaN,21,NaN,0,NaN,25,26,6,NaN,1000,NaN,1.2
43815.01042,0,96,496.9999992,0.5322,3.999999999,100,6.74000005,0,41.20000011,62.49999984,20.70000005,0,0,0.8,0,NaN,0,0.002007562,NaN,400,NaN,2.2,0,NaN,0,NaN,0,NaN,0,NaN,6.270000001,NaN,96,NaN,100,NaN,10,NaN,21,NaN,0,NaN,25,26,6,NaN,1000,NaN,1.2
43815.01389,0,96,477.0000007,0.5322,4,100,6.710000001,0,41.2,62.69999999,20.7,0,0,0.8,0,NaN,0,0.001551735,NaN,400,NaN,2.2,0,NaN,0,NaN,0,NaN,0,NaN,6.28,NaN,96,NaN,100,NaN,10,NaN,21,NaN,0,NaN,25,26,6,NaN,1000,NaN,1.2
43815.01736,0,96,492.0000001,0.5322,3.970000001,100,6.690000002,0,41.60000004,62.6,20.6,0,0,0.8,0,NaN,0,0.001095705,NaN,400,NaN,2.2,0,NaN,0,NaN,0,NaN,0,NaN,6.28,NaN,96,NaN,100,NaN,10,NaN,21,NaN,0,NaN,25,26,6,NaN,1000,NaN,1.2
43815.02083,0,96,494.0000002,0.5322,3.999999999,100,6.74,0,42.90000025,62.49999998,20.69999999,0,0,0.8,0,NaN,0,0.000639758,NaN,400,NaN,2.2,0,NaN,0,NaN,0,NaN,0,NaN,6.28,NaN,96,NaN,100,NaN,10,NaN,21,NaN,0,NaN,25,26,6,NaN,1000,NaN,1.2
43815.02431,0,96,495.9999997,0.5322,3.990000001,100,6.74,0,45.39999966,62.30000003,20.60000001,0,0,0.8,0,NaN,0,0.000608038,NaN,400,NaN,2.2,0,NaN,0,NaN,0,NaN,0,NaN,6.28,NaN,96,NaN,100,NaN,10,NaN,21,NaN,0,NaN,25,26,6,NaN,1000,NaN,1.2
43815.02778,0,96,497.9999999,0.5322,3.999999999,100,6.869999991,0,45.4,61.80000003,20.69999999,0,0,0.8,0,NaN,0,0.000576359,NaN,400,NaN,2.2,0,NaN,0,NaN,0,NaN,0,NaN,6.28,NaN,96,NaN,100,NaN,10,NaN,21,NaN,0,NaN,25,26,6,NaN,1000,NaN,1.2
43815.03125,0,96,495,0.5322,3.98,100,7.08,0,44.3,61.3,21,0,0,0.8,0,NaN,0,0.000544676,NaN,400,NaN,2.2,0,NaN,0,NaN,0,NaN,0,NaN,6.28,NaN,96,NaN,100,NaN,10,NaN,21,NaN,0,NaN,25,26,6,NaN,1000,NaN,1.2
