time,AssimLight,BlackScr,CO2air,Cum_irr,EC_drain_PC,EnScr,HumDef,PipeGrow,PipeLow,Rhair,Tair,Tot_PAR,Tot_PAR_Lamps,VentLee,Ventwind,assim_sp,assim_vip,co2_dos,co2_sp,co2_vip,dx_sp,dx_vip,int_blue_sp,int_blue_vip,int_farred_sp,int_farred_vip,int_red_sp,int_red_vip,int_white_sp,int_white_vip,pH_drain_PC,scr_blck_sp,scr_blck_vip,scr_enrg_sp,scr_enrg_vip,t_grow_min_sp,t_grow_min_vip,t_heat_sp,t_heat_vip,t_rail_min_sp,t_rail_min_vip,t_vent_sp,t_ventlee_vip,t_ventwind_vip,water_sup,water_sup_intervals_sp_min,water_sup_intervals_vip_min,window_pos_lee_sp,window_pos_lee_vip
43815,0,35,439,0.48,3.61,96,6.96,0,50.9,62.4,21.2,0,0,0.8,0,NaN,0,NaN,NaN,400,NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.56,NaN,96,NaN,96,NaN,20.9,NaN,21,NaN,0,NaN,25,26,4,NaN,1000,NaN,1.2
43815.00347,0,85.00000074,459.0000001,0.72,3.61,95.99999991,7.449999902,0,49.29999989,61.10000045,21.79999997,0,0,0.8,0,NaN,0,0.000221993,NaN,400,NaN,2.2,0,NaN,0,NaN,1000,NaN,0,NaN,4.56,NaN,96,NaN,96,NaN,20.9,NaN,21,NaN,0,NaN,25,26,6,NaN,1000,NaN,1.2
43815.00694,0,95.99999852,460.9999997,0.72,3.61,94.60000019,5.990000196,0,47.60000023,67.7999991,21.30000007,0,0,0.8,0,NaN,0,0.000443986,NaN,400,NaN,2.2,0,NaN,0,NaN,1000,NaN,0,NaN,4.56,NaN,96,NaN,96,NaN,20.9,NaN,21,NaN,0,NaN,25,26,6,NaN,1000,NaN,1.2
43815.01042,0,92.0000004,464.9999996,0.72,3.61,94.6,6.569999942,0,46.10000015,65.70000021,21.79999995,0,0,0.8,0,NaN,0,1.60E-05,NaN,400,NaN,2.2,0,NaN,0,NaN,1000,NaN,0,NaN,4.56,NaN,96,NaN,96,NaN,20.9,NaN,21,NaN,0,NaN,25,26,6,NaN,1000,NaN,1.2
43815.01389,0,92,466.9999999,0.72,3.62,95.29999998,6.989999986,0,45.20000003,63.10000009,21.60000001,0,0,0.8,0,NaN,0,1.81E-05,NaN,400,NaN,2.2,0,NaN,0,NaN,1000,NaN,0,NaN,4.56,NaN,96,NaN,96,NaN,20.9,NaN,21,NaN,0,NaN,25,26,6,NaN,1000,NaN,1.2
43815.01736,0,95.99999995,457.0000002,0.72,3.610000001,95.99999997,6.949999979,0,43.99999999,63.10000009,21.49999999,0,0,0.8,0,NaN,0,2.03E-05,NaN,400,NaN,2.2,0,NaN,0,NaN,1000,NaN,0,NaN,4.56,NaN,96,NaN,96,NaN,20.9,NaN,21,NaN,0,NaN,25,26,6,NaN,1000,NaN,1.2
43815.02083,0,94.4,464.0000003,0.72,3.629999999,95.2,6.310000028,0,43.60000007,65.89999989,21.20000002,0,0,0.8,0,NaN,0,2.25E-05,NaN,400,NaN,2.2,0,NaN,0,NaN,1000,NaN,0,NaN,4.56,NaN,96,NaN,96,NaN,20.9,NaN,21,NaN,0,NaN,25,26,6,NaN,1000,NaN,1.2
43815.02431,0,94.4,466.9999996,0.72,3.620000001,95.2,6.589999962,0,44.29999991,64.80000015,21.39999997,0,0,0.8,0,NaN,0,2.29E-05,NaN,400,NaN,2.2,0,NaN,0,NaN,1000,NaN,0,NaN,4.56,NaN,96,NaN,96,NaN,20.9,NaN,21,NaN,0,NaN,25,26,6,NaN,1000,NaN,1.2
43815.02778,0,95.99999989,465.0000001,0.72,3.62,95.99999995,6.88999998,0,45.09999995,63.00000012,21.30000001,0,0,0.8,0,NaN,0,2.34E-05,NaN,400,NaN,2.2,0,NaN,0,NaN,1000,NaN,0,NaN,4.56,NaN,96,NaN,96,NaN,20.9,NaN,21,NaN,0,NaN,25,26,6,NaN,1000,NaN,1.2
43815.03125,0,96,464,0.72,3.63,96,7.18,0,44,61.9,21.5,0,0,0.8,0,NaN,0,2.38E-05,NaN,400,NaN,2.2,0,NaN,0,NaN,1000,NaN,0,NaN,4.56,NaN,96,NaN,96,NaN,20.9,NaN,21,NaN,0,NaN,25,26,6,NaN,1000,NaN,1.2
