%time,AssimLight,BlackScr,CO2air,Cum_irr,EC_drain_PC,EnScr,HumDef,PipeGrow,PipeLow,Rhair,Tair,Tot_PAR,Tot_PAR_Lamps,VentLee,Ventwind,assim_sp,assim_vip,co2_dos,co2_sp,co2_vip,dx_sp,dx_vip,int_blue_sp,int_blue_vip,int_farred_sp,int_farred_vip,int_red_sp,int_red_vip,int_white_sp,int_white_vip,pH_drain_PC,scr_blck_sp,scr_blck_vip,scr_enrg_sp,scr_enrg_vip,t_grow_min_sp,t_grow_min_vip,t_heat_sp,t_heat_vip,t_rail_min_sp,t_rail_min_vip,t_vent_sp,t_ventlee_vip,t_ventwind_vip,water_sup,water_sup_intervals_sp_min,water_sup_intervals_vip_min,window_pos_lee_sp,window_pos_lee_vip
43815.00000, 100,  35,  509, 31.6,  0.3,  96,  8.8,  0.0, 49.9, 51.9, 21.0,    0,   0,   1,   0, NaN, 100,    NaN,  NaN,  400,  NaN,  4.3, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 6.5, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0, 263.0,  NaN,   10,  NaN,  1.2
43815.00347, 100,  85,  484, 31.8,  0.3,  96,  9.2,  0.0, 48.5, 51.3, 21.5,    0,   0,   1,   0, NaN, 100, 0.0001,  NaN,  400,  NaN,  4.3, 1000, NaN,   0, NaN,   0, NaN,   0, NaN, 6.5, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0, 265.0,  NaN,   10,  NaN,  1.2
43815.00694, 100,  96,  475, 31.8,  0.3,  96,  9.1,  0.0, 46.8, 52.2, 21.6,    0,   0,   1,   0, NaN, 100, 0.0000,  NaN,  400,  NaN,  4.3, 1000, NaN,   0, NaN,   0, NaN,   0, NaN, 6.5, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0, 265.0,  NaN,   10,  NaN,  1.2
43815.01042, 100,  96,  501, 32.0,  0.3,  96,  8.5,  0.0, 45.2, 54.6, 21.3,    0,   0,   1,   0, NaN, 100, 0.0028,  NaN,  400,  NaN,  4.3, 1000, NaN,   0, NaN,   0, NaN,   0, NaN, 6.5, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0, 267.0,  NaN,   10,  NaN,  1.2
43815.01389, 100,  96,  487, 32.0,  0.3,  96,  8.5,  0.0, 43.8, 54.4, 21.4,    0,   0,   1,   0, NaN, 100, 0.0022,  NaN,  400,  NaN,  4.3, 1000, NaN,   0, NaN,   0, NaN,   0, NaN, 6.5, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0, 267.0,  NaN,   10,  NaN,  1.2
43815.01736, 100,  96,  472, 32.3,  0.3,  96,  8.5,  0.0, 42.4, 54.3, 21.3,    0,   0,   1,   0, NaN, 100, 0.0015,  NaN,  400,  NaN,  4.3, 1000, NaN,   0, NaN,   0, NaN,   0, NaN, 6.5, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0, 269.0,  NaN,   10,  NaN,  1.2
43815.02083, 100,  96,  491, 32.3,  0.3,  96,  8.5,  0.0, 41.0, 54.3, 21.2,    0,   0,   1,   0, NaN, 100, 0.0008,  NaN,  400,  NaN,  4.3, 1000, NaN,   0, NaN,   0, NaN,   0, NaN, 6.5, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0, 269.0,  NaN,   10,  NaN,  1.2
43815.02431, 100,  96,  487, 32.5,  0.3,  96,  8.4,  0.0, 41.5, 54.6, 21.1,    0,   0,   1,   0, NaN, 100, 0.0009,  NaN,  400,  NaN,  4.3, 1000, NaN,   0, NaN,   0, NaN,   0, NaN, 6.5, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0, 271.0,  NaN,   10,  NaN,  1.2
43815.02778, 100,  96,  490, 32.5,  0.3,  96,  8.2,  0.0, 43.2, 54.7, 20.9,    0,   0,   1,   0, NaN, 100, 0.0009,  NaN,  400,  NaN,  4.3, 1000, NaN,   0, NaN,   0, NaN,   0, NaN, 6.5, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0, 271.0,  NaN,   10,  NaN,  1.2
43815.03125, 100,  96,  506, 32.8,  0.3,  96,  8.3,  0.0, 44.4, 54.8, 21.0,    0,   0,   1,   0, NaN, 100, 0.0010,  NaN,  400,  NaN,  4.3, 1000, NaN,   0, NaN,   0, NaN,   0, NaN, 6.5, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0, 273.0,  NaN,   10,  NaN,  1.2
