%time,AssimLight,BlackScr,CO2air,Cum_irr,EC_drain_PC,EnScr,HumDef,PipeGrow,PipeLow,Rhair,Tair,Tot_PAR,Tot_PAR_Lamps,VentLee,Ventwind,assim_sp,assim_vip,co2_dos,co2_sp,co2_vip,dx_sp,dx_vip,int_blue_sp,int_blue_vip,int_farred_sp,int_farred_vip,int_red_sp,int_red_vip,int_white_sp,int_white_vip,pH_drain_PC,scr_blck_sp,scr_blck_vip,scr_enrg_sp,scr_enrg_vip,t_grow_min_sp,t_grow_min_vip,t_heat_sp,t_heat_vip,t_rail_min_sp,t_rail_min_vip,t_vent_sp,t_ventlee_vip,t_ventwind_vip,water_sup,water_sup_intervals_sp_min,water_sup_intervals_vip_min,window_pos_lee_sp,window_pos_lee_vip
43815.00000,   0,  35,  468,  0.3,  1.8,  96,  7.3, 34.5, 50.4, 60.7, 21.3,    0,   0,   1,   0, NaN,   0,    NaN,  NaN,  400,  NaN,  2.2, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 6.6, NaN,  96, NaN,  96,  NaN, 30.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  2.0,  NaN, 1000,  NaN,  1.2
43815.00347,   0,  85,  509,  0.5,  1.8,  96,  7.1, 33.2, 48.7, 62.4, 21.5,    0,   0,   1,   0, NaN,   0, 0.0014,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN, 700, NaN, 700, NaN, 6.6, NaN,  96, NaN,  96,  NaN, 30.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
43815.00694,   0,  96,  498,  0.5,  1.8,  96,  7.5, 32.4, 47.1, 61.4, 22.0,    0,   0,   1,   0, NaN,   0, 0.0013,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN, 700, NaN, 700, NaN, 6.6, NaN,  96, NaN,  96,  NaN, 30.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
43815.01042,   0,  96,  491,  0.5,  1.8,  96,  6.6, 31.7, 45.4, 64.8, 21.3,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN, 700, NaN, 700, NaN, 6.6, NaN,  96, NaN,  96,  NaN, 30.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
43815.01389,   0,  95,  515,  0.5,  1.8,  95,  6.7, 30.9, 44.2, 64.6, 21.6,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN, 700, NaN, 700, NaN, 6.6, NaN,  96, NaN,  96,  NaN, 30.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
43815.01736,   0,  96,  487,  0.5,  1.8,  96,  7.1, 30.2, 42.7, 62.7, 21.7,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN, 700, NaN, 700, NaN, 6.6, NaN,  96, NaN,  96,  NaN, 30.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
43815.02083,   0,  96,  495,  0.5,  1.8,  96,  7.3, 29.6, 41.5, 61.8, 21.8,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN, 700, NaN, 700, NaN, 6.6, NaN,  96, NaN,  96,  NaN, 30.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
43815.02431,   0,  96,  502,  0.5,  1.8,  96,  6.9, 29.5, 41.2, 62.9, 21.3,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN, 700, NaN, 700, NaN, 6.6, NaN,  96, NaN,  96,  NaN, 30.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
43815.02778,   0,  96,  498,  0.5,  1.8,  96,  7.0, 30.5, 43.5, 62.3, 21.3,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN, 700, NaN, 700, NaN, 6.6, NaN,  96, NaN,  96,  NaN, 30.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
43815.03125,   0,  96,  492,  0.5,  1.8,  96,  7.0, 30.7, 45.0, 62.1, 21.2,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN, 700, NaN, 700, NaN, 6.6, NaN,  96, NaN,  96,  NaN, 30.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
