%time,AssimLight,BlackScr,CO2air,Cum_irr,EC_drain_PC,EnScr,HumDef,PipeGrow,PipeLow,Rhair,Tair,Tot_PAR,Tot_PAR_Lamps,VentLee,Ventwind,assim_sp,assim_vip,co2_dos,co2_sp,co2_vip,dx_sp,dx_vip,int_blue_sp,int_blue_vip,int_farred_sp,int_farred_vip,int_red_sp,int_red_vip,int_white_sp,int_white_vip,pH_drain_PC,scr_blck_sp,scr_blck_vip,scr_enrg_sp,scr_enrg_vip,t_grow_min_sp,t_grow_min_vip,t_heat_sp,t_heat_vip,t_rail_min_sp,t_rail_min_vip,t_vent_sp,t_ventlee_vip,t_ventwind_vip,water_sup,water_sup_intervals_sp_min,water_sup_intervals_vip_min,window_pos_lee_sp,window_pos_lee_vip
43815.00000,   0,  35,  445,  0.3,  2.1,  96,  6.7,  0.0, 49.7, 64.0, 21.2,    0,   0,   1,   0, NaN,   0,    NaN,  NaN,  400,  NaN,  2.2, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 7.1, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  2.0,  NaN, 1000,  NaN,  1.2
43815.00347,   0,  85,  490,  0.5,  2.1,  96,  7.4,  0.0, 47.8, 61.7, 22.0,    0,   0,   1,   0, NaN,   0, 0.0011,  NaN,  400,  NaN,  2.2, NaN, NaN, NaN, NaN, NaN, NaN, 700, NaN, 7.1, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
43815.00694,   0,  96,  511,  0.5,  2.1,  96,  6.1,  0.0, 46.2, 67.5, 21.3,    0,   0,   1,   0, NaN,   0, 0.0020,  NaN,  400,  NaN,  2.2, NaN, NaN, NaN, NaN, NaN, NaN, 700, NaN, 7.1, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
43815.01042,   0,  92,  510,  0.5,  2.1,  95,  6.1,  0.0, 44.9, 67.9, 21.6,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2, NaN, NaN, NaN, NaN, NaN, NaN, 700, NaN, 7.1, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
43815.01389,   0,  92,  501,  0.5,  2.1,  93,  6.5,  0.0, 43.4, 65.4, 21.6,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2, NaN, NaN, NaN, NaN, NaN, NaN, 700, NaN, 7.1, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
43815.01736,   0,  95,  459,  0.5,  2.1,  96,  6.9,  0.0, 42.1, 63.9, 21.7,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2, NaN, NaN, NaN, NaN, NaN, NaN, 700, NaN, 7.1, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
43815.02083,   0,  96,  503,  0.5,  2.1,  96,  7.0,  0.0, 40.9, 63.0, 21.6,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2, NaN, NaN, NaN, NaN, NaN, NaN, 700, NaN, 7.1, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
43815.02431,   0,  96,  490,  0.5,  2.1,  96,  7.0,  0.0, 39.7, 62.7, 21.5,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2, NaN, NaN, NaN, NaN, NaN, NaN, 700, NaN, 7.1, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
43815.02778,   0,  96,  485,  0.5,  2.1,  96,  7.0,  0.0, 39.7, 62.6, 21.4,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2, NaN, NaN, NaN, NaN, NaN, NaN, 700, NaN, 7.1, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
43815.03125,   0,  96,  496,  0.5,  2.1,  96,  6.9,  0.0, 42.0, 62.5, 21.1,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2, NaN, NaN, NaN, NaN, NaN, NaN, 700, NaN, 7.1, NaN,  96, NaN,  96,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
