%time,AssimLight,BlackScr,CO2air,Cum_irr,EC_drain_PC,EnScr,HumDef,PipeGrow,PipeLow,Rhair,Tair,Tot_PAR,Tot_PAR_Lamps,VentLee,Ventwind,assim_sp,assim_vip,co2_dos,co2_sp,co2_vip,dx_sp,dx_vip,int_blue_sp,int_blue_vip,int_farred_sp,int_farred_vip,int_red_sp,int_red_vip,int_white_sp,int_white_vip,pH_drain_PC,scr_blck_sp,scr_blck_vip,scr_enrg_sp,scr_enrg_vip,t_grow_min_sp,t_grow_min_vip,t_heat_sp,t_heat_vip,t_rail_min_sp,t_rail_min_vip,t_vent_sp,t_ventlee_vip,t_ventwind_vip,water_sup,water_sup_intervals_sp_min,water_sup_intervals_vip_min,window_pos_lee_sp,window_pos_lee_vip
43815.00000,   0,  35,  439,  0.5,  3.6,  96,  7.0,  0.0, 50.9, 62.4, 21.2,    0,   0,   1,   0, NaN,   0,    NaN,  NaN,  400,  NaN,  2.2, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 4.6, NaN,  96, NaN,  96,  NaN, 20.9,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
43815.00347,   0,  85,  459,  0.7,  3.6,  96,  7.4,  0.0, 49.3, 61.1, 21.8,    0,   0,   1,   0, NaN,   0, 0.0002,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN, 1000, NaN,   0, NaN, 4.6, NaN,  96, NaN,  96,  NaN, 20.9,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.00694,   0,  96,  461,  0.7,  3.6,  95,  6.0,  0.0, 47.6, 67.8, 21.3,    0,   0,   1,   0, NaN,   0, 0.0004,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN, 1000, NaN,   0, NaN, 4.6, NaN,  96, NaN,  96,  NaN, 20.9,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.01042,   0,  92,  465,  0.7,  3.6,  95,  6.6,  0.0, 46.1, 65.7, 21.8,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN, 1000, NaN,   0, NaN, 4.6, NaN,  96, NaN,  96,  NaN, 20.9,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.01389,   0,  92,  467,  0.7,  3.6,  95,  7.0,  0.0, 45.2, 63.1, 21.6,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN, 1000, NaN,   0, NaN, 4.6, NaN,  96, NaN,  96,  NaN, 20.9,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.01736,   0,  96,  457,  0.7,  3.6,  96,  6.9,  0.0, 44.0, 63.1, 21.5,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN, 1000, NaN,   0, NaN, 4.6, NaN,  96, NaN,  96,  NaN, 20.9,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.02083,   0,  94,  464,  0.7,  3.6,  95,  6.3,  0.0, 43.6, 65.9, 21.2,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN, 1000, NaN,   0, NaN, 4.6, NaN,  96, NaN,  96,  NaN, 20.9,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.02431,   0,  94,  467,  0.7,  3.6,  95,  6.6,  0.0, 44.3, 64.8, 21.4,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN, 1000, NaN,   0, NaN, 4.6, NaN,  96, NaN,  96,  NaN, 20.9,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.02778,   0,  96,  465,  0.7,  3.6,  96,  6.9,  0.0, 45.1, 63.0, 21.3,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN, 1000, NaN,   0, NaN, 4.6, NaN,  96, NaN,  96,  NaN, 20.9,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.03125,   0,  96,  464,  0.7,  3.6,  96,  7.2,  0.0, 44.0, 61.9, 21.5,    0,   0,   1,   0, NaN,   0, 0.0000,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN, 1000, NaN,   0, NaN, 4.6, NaN,  96, NaN,  96,  NaN, 20.9,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
