-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 05/17/2025 through 06/18/2025 in LST
Location: Latitude  48.329   Longitude 25.93 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 323.83 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/hr) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,ALLSKY_SFC_SW_DWN,RH2M,WS2M
2025,5,17,0,4.15,0.0,93.55,0.49
2025,5,17,1,4.17,0.0,92.63,0.15
2025,5,17,2,4.04,0.0,92.67,0.26
2025,5,17,3,3.82,0.0,93.1,0.57
2025,5,17,4,3.6,0.0,93.94,0.81
2025,5,17,5,3.77,0.14,94.16,0.98
2025,5,17,6,4.51,0.39,91.96,1.3
2025,5,17,7,5.42,0.73,88.55,1.62
2025,5,17,8,6.94,1.08,82.82,2.02
2025,5,17,9,9.22,1.3,72.51,2.46
2025,5,17,10,10.88,1.62,65.1,2.67
2025,5,17,11,11.91,1.34,60.58,2.72
2025,5,17,12,12.72,1.81,57.75,2.65
2025,5,17,13,13.51,1.68,55.44,2.56
2025,5,17,14,14.26,1.26,53.56,2.46
2025,5,17,15,14.42,1.01,53.76,2.4
2025,5,17,16,14.01,0.85,56.77,2.37
2025,5,17,17,13.08,0.47,63.72,2.11
2025,5,17,18,11.71,0.22,78.51,1.3
2025,5,17,19,9.85,0.04,88.13,1.02
2025,5,17,20,8.87,0.0,91.2,1.1
2025,5,17,21,8.44,0.0,92.24,1.28
2025,5,17,22,8.15,0.0,92.51,1.46
2025,5,17,23,7.73,0.0,92.54,1.57
2025,5,18,0,7.23,0.0,92.42,1.72
2025,5,18,1,6.74,0.0,92.42,1.89
2025,5,18,2,6.21,0.0,92.91,1.91
2025,5,18,3,5.76,0.0,93.81,1.86
2025,5,18,4,5.32,0.0,94.98,1.79
2025,5,18,5,6.59,0.15,90.81,2.04
2025,5,18,6,8.88,0.39,82.86,2.83
2025,5,18,7,11.02,0.69,75.33,3.28
2025,5,18,8,12.84,0.98,67.75,4.14
2025,5,18,9,13.63,1.11,65.24,4.5
2025,5,18,10,13.96,1.15,63.66,4.62
2025,5,18,11,14.0,1.49,63.12,4.61
2025,5,18,12,14.01,1.87,62.41,4.52
2025,5,18,13,14.13,1.73,60.68,4.43
2025,5,18,14,14.18,1.06,59.45,4.29
2025,5,18,15,14.12,1.34,59.11,4.14
2025,5,18,16,13.93,1.04,59.46,3.77
2025,5,18,17,13.56,0.64,61.71,3.09
2025,5,18,18,12.38,0.29,73.68,1.62
2025,5,18,19,10.02,0.06,83.81,0.98
2025,5,18,20,9.11,0.0,84.99,0.91
2025,5,18,21,8.74,0.0,85.66,0.89
2025,5,18,22,8.03,0.0,86.57,0.97
2025,5,18,23,7.23,0.0,90.06,1.12
2025,5,19,0,7.25,0.0,91.6,1.23
2025,5,19,1,6.94,0.0,92.14,1.39
2025,5,19,2,6.64,0.0,92.43,1.51
2025,5,19,3,6.45,0.0,92.8,1.39
2025,5,19,4,6.44,0.0,93.33,1.22
2025,5,19,5,6.99,0.12,93.73,0.97
2025,5,19,6,8.22,0.34,92.58,0.86
2025,5,19,7,8.67,0.56,87.19,1.28
2025,5,19,8,8.84,0.74,85.52,1.15
2025,5,19,9,9.36,0.91,82.29,1.29
2025,5,19,10,9.56,0.72,79.24,2.2
2025,5,19,11,9.6,1.16,77.35,3.16
2025,5,19,12,9.67,1.43,74.28,3.86
2025,5,19,13,9.61,1.6,71.74,4.19
2025,5,19,14,9.67,1.36,69.79,4.37
2025,5,19,15,9.52,1.31,69.47,4.61
2025,5,19,16,9.01,1.11,71.12,4.64
2025,5,19,17,8.59,0.68,73.33,4.26
2025,5,19,18,8.13,0.36,77.83,3.54
2025,5,19,19,7.17,0.08,84.34,3.06
2025,5,19,20,6.51,0.0,87.96,3.34
2025,5,19,21,6.27,0.0,89.61,3.74
2025,5,19,22,5.98,0.0,92.09,3.86
2025,5,19,23,5.78,0.0,93.21,4.07
2025,5,20,0,5.56,0.0,93.61,4.29
2025,5,20,1,5.06,0.0,94.45,4.25
2025,5,20,2,4.51,0.0,95.02,4.31
2025,5,20,3,4.05,0.0,95.49,4.28
2025,5,20,4,3.76,0.0,95.72,4.28
2025,5,20,5,4.49,0.2,92.63,4.43
2025,5,20,6,6.26,0.58,87.0,4.29
2025,5,20,7,9.19,1.03,74.88,4.63
2025,5,20,8,11.94,1.56,61.22,5.28
2025,5,20,9,13.37,1.71,55.13,5.68
2025,5,20,10,13.93,1.8,54.03,6.07
2025,5,20,11,13.92,1.24,55.93,6.35
2025,5,20,12,13.54,1.23,59.25,6.31
2025,5,20,13,13.23,1.24,62.74,6.08
2025,5,20,14,13.44,0.96,64.01,5.9
2025,5,20,15,13.85,0.69,64.49,5.71
2025,5,20,16,13.91,0.47,65.9,5.31
2025,5,20,17,13.85,0.38,67.44,4.7
2025,5,20,18,13.33,0.27,71.9,3.44
2025,5,20,19,11.49,0.07,81.84,2.14
2025,5,20,20,10.48,0.0,84.85,2.32
2025,5,20,21,10.31,0.0,83.61,2.84
2025,5,20,22,9.69,0.0,84.56,2.99
2025,5,20,23,8.99,0.0,86.33,3.01
2025,5,21,0,8.32,0.0,87.91,3.08
2025,5,21,1,7.8,0.0,89.02,3.09
2025,5,21,2,7.38,0.0,89.78,2.93
2025,5,21,3,7.16,0.0,90.06,2.73
2025,5,21,4,6.87,0.0,90.76,2.48
2025,5,21,5,8.27,0.27,84.35,2.94
2025,5,21,6,10.46,0.76,76.0,3.29
2025,5,21,7,13.42,1.39,67.59,2.95
2025,5,21,8,16.44,2.02,58.06,2.85
2025,5,21,9,17.92,2.54,54.62,2.13
2025,5,21,10,18.76,2.72,52.24,1.52
2025,5,21,11,19.53,2.61,49.92,1.15
2025,5,21,12,20.17,2.56,48.35,0.85
2025,5,21,13,20.66,2.36,47.21,0.56
2025,5,21,14,21.01,2.27,46.18,0.41
2025,5,21,15,21.1,2.0,45.59,0.49
2025,5,21,16,20.98,1.58,45.53,0.59
2025,5,21,17,20.43,0.99,48.06,0.83
2025,5,21,18,19.07,0.52,59.1,0.97
2025,5,21,19,15.63,0.11,76.16,0.99
2025,5,21,20,13.24,0.0,78.0,1.31
2025,5,21,21,12.43,0.0,80.1,1.46
