target,feature,coefficient
heat_cons_mj_m2,__intercept__,-3.56540760012081
heat_cons_mj_m2,control_t_heat_sp_mean,0.021659199353958058
heat_cons_mj_m2,control_t_heat_sp_max,0.01374111998526451
heat_cons_mj_m2,control_t_heat_sp_min,0.0
heat_cons_mj_m2,control_t_vent_sp_mean,0.0
heat_cons_mj_m2,control_t_vent_sp_max,0.050268132462643576
heat_cons_mj_m2,control_t_vent_sp_min,0.0
heat_cons_mj_m2,control_co2_sp_mean,0.0
heat_cons_mj_m2,control_co2_sp_max,0.0
heat_cons_mj_m2,control_co2_sp_min,0.002287814518314979
heat_cons_mj_m2,control_assim_sp_mean,0.0
heat_cons_mj_m2,control_assim_sp_max,0.0
heat_cons_mj_m2,control_assim_sp_min,0.0
heat_cons_mj_m2,control_window_pos_lee_sp_mean,0.0
heat_cons_mj_m2,control_window_pos_lee_sp_max,0.0
heat_cons_mj_m2,control_window_pos_lee_sp_min,0.0
heat_cons_mj_m2,control_water_sup_intervals_sp_min_mean,0.0
heat_cons_mj_m2,control_water_sup_intervals_sp_min_max,0.0006224020932410013
heat_cons_mj_m2,control_water_sup_intervals_sp_min_min,0.0
heat_cons_mj_m2,control_scr_enrg_sp_mean,0.0
heat_cons_mj_m2,control_scr_enrg_sp_max,0.0
heat_cons_mj_m2,control_scr_enrg_sp_min,0.0
heat_cons_mj_m2,control_scr_blck_sp_mean,0.0
heat_cons_mj_m2,control_scr_blck_sp_max,0.0
heat_cons_mj_m2,control_scr_blck_sp_min,0.0
heat_cons_mj_m2,weather_Tout_mean,0.0
heat_cons_mj_m2,weather_Tout_max,0.00015109707557179092
heat_cons_mj_m2,weather_Tout_min,0.0
heat_cons_mj_m2,weather_Iglob_mean,0.0
heat_cons_mj_m2,weather_Iglob_max,0.0
heat_cons_mj_m2,weather_Iglob_min,0.0
heat_cons_mj_m2,weather_PARout_mean,0.0
heat_cons_mj_m2,weather_PARout_max,0.0
heat_cons_mj_m2,weather_PARout_min,0.0
heat_cons_mj_m2,weather_Rain_mean,1.9131227763951182
heat_cons_mj_m2,weather_Rain_max,0.0
heat_cons_mj_m2,weather_Rain_min,0.0
heat_cons_mj_m2,weather_Windsp_mean,0.01822686364089205
heat_cons_mj_m2,weather_Windsp_max,0.0
heat_cons_mj_m2,weather_Windsp_min,0.008490488077763985
heat_cons_mj_m2,weather_day_sin_mean,0.05264208633034535
heat_cons_mj_m2,weather_day_sin_max,0.05264208633034516
heat_cons_mj_m2,weather_day_sin_min,0.05264208633034516
heat_cons_mj_m2,weather_day_cos_mean,0.15663237238143865
heat_cons_mj_m2,weather_day_cos_max,0.1566323723814386
heat_cons_mj_m2,weather_day_cos_min,0.1566323723814386
heat_cons_mj_m2,derived_heat_drive,0.11825126271154777
heat_cons_mj_m2,derived_co2_pressure,0.0
heat_cons_mj_m2,derived_ventilation_pressure,0.0
heat_cons_mj_m2,derived_light_pressure,0.0
heat_cons_mj_m2,derived_irrigation_request,0.0
electricity_kwh_m2,__intercept__,-0.39351541146660796
electricity_kwh_m2,control_t_heat_sp_mean,0.0
electricity_kwh_m2,control_t_heat_sp_max,0.0
electricity_kwh_m2,control_t_heat_sp_min,0.006385624429433847
electricity_kwh_m2,control_t_vent_sp_mean,0.0
electricity_kwh_m2,control_t_vent_sp_max,0.0
electricity_kwh_m2,control_t_vent_sp_min,0.001402594374482174
electricity_kwh_m2,control_co2_sp_mean,0.0
electricity_kwh_m2,control_co2_sp_max,0.0
electricity_kwh_m2,control_co2_sp_min,0.0
electricity_kwh_m2,control_assim_sp_mean,0.003132386544235336
electricity_kwh_m2,control_assim_sp_max,0.0006572557530437908
electricity_kwh_m2,control_assim_sp_min,0.0
electricity_kwh_m2,control_window_pos_lee_sp_mean,0.0
electricity_kwh_m2,control_window_pos_lee_sp_max,2.101644951985041e-05
electricity_kwh_m2,control_window_pos_lee_sp_min,0.0
electricity_kwh_m2,control_water_sup_intervals_sp_min_mean,1.2391253342957619e-05
electricity_kwh_m2,control_water_sup_intervals_sp_min_max,9.852203688015808e-05
electricity_kwh_m2,control_water_sup_intervals_sp_min_min,8.332975863044694e-05
electricity_kwh_m2,control_scr_enrg_sp_mean,0.0
electricity_kwh_m2,control_scr_enrg_sp_max,0.0
electricity_kwh_m2,control_scr_enrg_sp_min,0.0022790003972425555
electricity_kwh_m2,control_scr_blck_sp_mean,0.0
electricity_kwh_m2,control_scr_blck_sp_max,0.0005391352395322848
electricity_kwh_m2,control_scr_blck_sp_min,0.0
electricity_kwh_m2,weather_Tout_mean,0.0
electricity_kwh_m2,weather_Tout_max,0.0
electricity_kwh_m2,weather_Tout_min,0.02152818280351927
electricity_kwh_m2,weather_Iglob_mean,0.0
electricity_kwh_m2,weather_Iglob_max,0.0
electricity_kwh_m2,weather_Iglob_min,0.0
electricity_kwh_m2,weather_PARout_mean,0.0
electricity_kwh_m2,weather_PARout_max,0.0
electricity_kwh_m2,weather_PARout_min,0.0
electricity_kwh_m2,weather_Rain_mean,0.5120782840371532
electricity_kwh_m2,weather_Rain_max,0.0
electricity_kwh_m2,weather_Rain_min,0.0
electricity_kwh_m2,weather_Windsp_mean,0.0
electricity_kwh_m2,weather_Windsp_max,0.0
electricity_kwh_m2,weather_Windsp_min,0.0
electricity_kwh_m2,weather_day_sin_mean,0.356728746383843
electricity_kwh_m2,weather_day_sin_max,0.356728746383843
electricity_kwh_m2,weather_day_sin_min,0.356728746383843
electricity_kwh_m2,weather_day_cos_mean,0.4547228218541568
electricity_kwh_m2,weather_day_cos_max,0.45472282185415697
electricity_kwh_m2,weather_day_cos_min,0.45472282185415697
electricity_kwh_m2,derived_heat_drive,0.00272482068942475
electricity_kwh_m2,derived_co2_pressure,7.690219507160072e-05
electricity_kwh_m2,derived_ventilation_pressure,0.0
electricity_kwh_m2,derived_light_pressure,0.00313238654423533
electricity_kwh_m2,derived_irrigation_request,1.239125334295755e-05
co2_cons_kg_m2,__intercept__,-0.07478362059695964
co2_cons_kg_m2,control_t_heat_sp_mean,0.0
co2_cons_kg_m2,control_t_heat_sp_max,0.0
co2_cons_kg_m2,control_t_heat_sp_min,0.0
co2_cons_kg_m2,control_t_vent_sp_mean,0.0
co2_cons_kg_m2,control_t_vent_sp_max,0.0
co2_cons_kg_m2,control_t_vent_sp_min,7.122517746008769e-05
co2_cons_kg_m2,control_co2_sp_mean,3.324328340600892e-05
co2_cons_kg_m2,control_co2_sp_max,2.276748708548766e-05
co2_cons_kg_m2,control_co2_sp_min,0.0
co2_cons_kg_m2,control_assim_sp_mean,2.1577986792779995e-06
co2_cons_kg_m2,control_assim_sp_max,0.00010788284620821516
co2_cons_kg_m2,control_assim_sp_min,0.0
co2_cons_kg_m2,control_window_pos_lee_sp_mean,0.0
co2_cons_kg_m2,control_window_pos_lee_sp_max,0.0
co2_cons_kg_m2,control_window_pos_lee_sp_min,0.0
co2_cons_kg_m2,control_water_sup_intervals_sp_min_mean,3.0659110300106346e-06
co2_cons_kg_m2,control_water_sup_intervals_sp_min_max,0.0
co2_cons_kg_m2,control_water_sup_intervals_sp_min_min,0.0
co2_cons_kg_m2,control_scr_enrg_sp_mean,0.0
co2_cons_kg_m2,control_scr_enrg_sp_max,0.0
co2_cons_kg_m2,control_scr_enrg_sp_min,9.84286437432497e-06
co2_cons_kg_m2,control_scr_blck_sp_mean,0.0
co2_cons_kg_m2,control_scr_blck_sp_max,0.0
co2_cons_kg_m2,control_scr_blck_sp_min,0.0
co2_cons_kg_m2,weather_Tout_mean,0.0008862995446846844
co2_cons_kg_m2,weather_Tout_max,0.0007543109830564147
co2_cons_kg_m2,weather_Tout_min,0.0003024986852823305
co2_cons_kg_m2,weather_Iglob_mean,8.2079076647915e-05
co2_cons_kg_m2,weather_Iglob_max,4.417764172837276e-06
co2_cons_kg_m2,weather_Iglob_min,0.0
co2_cons_kg_m2,weather_PARout_mean,3.319861666757513e-05
co2_cons_kg_m2,weather_PARout_max,0.0
co2_cons_kg_m2,weather_PARout_min,0.0
co2_cons_kg_m2,weather_Rain_mean,0.0012549852539463042
co2_cons_kg_m2,weather_Rain_max,0.0
co2_cons_kg_m2,weather_Rain_min,0.0
co2_cons_kg_m2,weather_Windsp_mean,0.0019260364758927166
co2_cons_kg_m2,weather_Windsp_max,0.0
co2_cons_kg_m2,weather_Windsp_min,0.00016026902521601167
co2_cons_kg_m2,weather_day_sin_mean,0.009567929167079511
co2_cons_kg_m2,weather_day_sin_max,0.009567929167079511
co2_cons_kg_m2,weather_day_sin_min,0.009567929167079511
co2_cons_kg_m2,weather_day_cos_mean,0.008040667514333343
co2_cons_kg_m2,weather_day_cos_max,0.008040667514333343
co2_cons_kg_m2,weather_day_cos_min,0.008040667514333343
co2_cons_kg_m2,derived_heat_drive,0.0
co2_cons_kg_m2,derived_co2_pressure,3.733392683594423e-05
co2_cons_kg_m2,derived_ventilation_pressure,0.0
co2_cons_kg_m2,derived_light_pressure,2.1577986792779385e-06
co2_cons_kg_m2,derived_irrigation_request,3.0659110300106325e-06
irrigation_l_m2,__intercept__,-2.0499557451295107
irrigation_l_m2,control_t_heat_sp_mean,0.0
irrigation_l_m2,control_t_heat_sp_max,0.0
irrigation_l_m2,control_t_heat_sp_min,0.0
irrigation_l_m2,control_t_vent_sp_mean,0.0
irrigation_l_m2,control_t_vent_sp_max,0.03562728365637123
irrigation_l_m2,control_t_vent_sp_min,0.0
irrigation_l_m2,control_co2_sp_mean,0.0
irrigation_l_m2,control_co2_sp_max,0.0
irrigation_l_m2,control_co2_sp_min,0.0
irrigation_l_m2,control_assim_sp_mean,0.0
irrigation_l_m2,control_assim_sp_max,0.0059524801456241234
irrigation_l_m2,control_assim_sp_min,0.0
irrigation_l_m2,control_window_pos_lee_sp_mean,0.024202624685141304
irrigation_l_m2,control_window_pos_lee_sp_max,0.0
irrigation_l_m2,control_window_pos_lee_sp_min,0.0
irrigation_l_m2,control_water_sup_intervals_sp_min_mean,0.0
irrigation_l_m2,control_water_sup_intervals_sp_min_max,0.0006428834412019912
irrigation_l_m2,control_water_sup_intervals_sp_min_min,0.0
irrigation_l_m2,control_scr_enrg_sp_mean,0.0
irrigation_l_m2,control_scr_enrg_sp_max,0.0
irrigation_l_m2,control_scr_enrg_sp_min,0.0
irrigation_l_m2,control_scr_blck_sp_mean,0.0
irrigation_l_m2,control_scr_blck_sp_max,0.002252980374631996
irrigation_l_m2,control_scr_blck_sp_min,0.0
irrigation_l_m2,weather_Tout_mean,0.0
irrigation_l_m2,weather_Tout_max,0.05584855556558401
irrigation_l_m2,weather_Tout_min,0.0
irrigation_l_m2,weather_Iglob_mean,0.004260931897680164
irrigation_l_m2,weather_Iglob_max,0.0
irrigation_l_m2,weather_Iglob_min,0.0
irrigation_l_m2,weather_PARout_mean,0.0019784962470022083
irrigation_l_m2,weather_PARout_max,0.0
irrigation_l_m2,weather_PARout_min,0.0
irrigation_l_m2,weather_Rain_mean,0.9436893378610951
irrigation_l_m2,weather_Rain_max,0.0
irrigation_l_m2,weather_Rain_min,0.0
irrigation_l_m2,weather_Windsp_mean,0.0
irrigation_l_m2,weather_Windsp_max,0.0
irrigation_l_m2,weather_Windsp_min,0.0
irrigation_l_m2,weather_day_sin_mean,1.0524629603275488
irrigation_l_m2,weather_day_sin_max,1.0524629603275488
irrigation_l_m2,weather_day_sin_min,1.0524629603275488
irrigation_l_m2,weather_day_cos_mean,0.0
irrigation_l_m2,weather_day_cos_max,0.0
irrigation_l_m2,weather_day_cos_min,0.0
irrigation_l_m2,derived_heat_drive,0.0
irrigation_l_m2,derived_co2_pressure,0.0
irrigation_l_m2,derived_ventilation_pressure,0.024202624685141304
irrigation_l_m2,derived_light_pressure,0.0
irrigation_l_m2,derived_irrigation_request,0.0
