metric,control_target,role,full_spearman,full_pairwise_consistency,leave_one_model_spearman_min,leave_one_model_spearman_mean,leave_one_model_spearman_max,leave_one_model_pairwise_min,leave_one_model_pairwise_mean,leave_one_model_pairwise_max,leave_one_family_spearman_min,leave_one_family_spearman_mean,leave_one_family_spearman_max,leave_one_family_pairwise_min,leave_one_family_pairwise_mean,leave_one_family_pairwise_max
tair_first_step_mae,mpc_tair_mae,secondary_selection,0.6588235294117648,0.7416666666666667,0.6142857142857142,0.6564732142857141,0.807142857142857,0.7238095238095238,0.7416666666666667,0.8,0.5494505494505494,0.6527472527472526,0.807142857142857,0.6794871794871795,0.7410256410256412,0.8
tair_first_step_mae,mpc_rhair_mae,secondary_selection,0.55,0.7083333333333334,0.457142857142857,0.5482142857142857,0.6714285714285713,0.6761904761904762,0.7083333333333333,0.7619047619047619,0.30769230769230765,0.5404095904095904,0.6714285714285713,0.6282051282051282,0.707059607059607,0.7619047619047619
tair_first_step_mae,mpc_co2_mae,weak_selection,0.27058823529411763,0.575,0.18928571428571428,0.26897321428571425,0.4535714285714285,0.5428571428571428,0.575,0.6285714285714286,-0.005494505494505494,0.2636113886113886,0.4535714285714285,0.47435897435897434,0.5734265734265734,0.6285714285714286
tair_first_step_mae,mpc_objective,objective_secondary_selection,0.3558823529411765,0.6083333333333333,0.2571428571428571,0.35401785714285705,0.47142857142857136,0.5619047619047619,0.6083333333333334,0.6571428571428571,0.24175824175824176,0.355044955044955,0.47142857142857136,0.5384615384615384,0.6079920079920079,0.6571428571428571
tair_control_horizon_mae,mpc_tair_mae,secondary_selection,0.478292991885524,0.6470588235294118,0.3949956894503855,0.4758184191942978,0.6416445815053773,0.6153846153846154,0.6470581501831503,0.7019230769230769,0.3603854853618778,0.47031288591469966,0.6416445815053773,0.5974025974025974,0.6456049001503548,0.7019230769230769
tair_control_horizon_mae,mpc_rhair_mae,secondary_selection,0.5430465046331026,0.7058823529411765,0.45218963543415164,0.5412631115523157,0.6142857142857142,0.6730769230769231,0.705849358974359,0.7333333333333333,0.43191237558637263,0.5341195721820392,0.6142857142857142,0.6730769230769231,0.7038037719855901,0.7333333333333333
tair_control_horizon_mae,mpc_co2_mae,offline_or_diagnostic_only,0.1486387451705782,0.5378151260504201,0.048257391923802746,0.1476617879728211,0.2984809056027799,0.5,0.5378205128205129,0.5865384615384616,-0.046767582069862,0.14239102447179205,0.3300332030104183,0.4805194805194805,0.5369592528683437,0.6
tair_control_horizon_mae,mpc_objective,weak_selection,0.26490073396736713,0.5882352941176471,0.1537087298313717,0.263708919432243,0.38605913539042197,0.5480769230769231,0.5882268772893773,0.6346153846153846,0.046767582069862,0.2618765320788704,0.3894391795522936,0.4935064935064935,0.5872657645384918,0.6346153846153846
tair_weighted_horizon_mae,mpc_tair_mae,secondary_selection,0.5970588235294118,0.6833333333333333,0.532142857142857,0.5939732142857141,0.6749999999999999,0.6476190476190476,0.6833333333333333,0.7238095238095238,0.3736263736263736,0.5859390609390608,0.6749999999999999,0.6025641025641025,0.6817182817182817,0.7238095238095238
tair_weighted_horizon_mae,mpc_rhair_mae,secondary_selection,0.65,0.7333333333333333,0.5821428571428571,0.6475446428571427,0.7214285714285712,0.7047619047619048,0.7333333333333334,0.7714285714285715,0.4450549450549451,0.6358141858141857,0.7214285714285712,0.6538461538461539,0.7291375291375292,0.7714285714285715
