metric,metric_kind,control_target,pearson,spearman,pairwise_consistency,pairwise_agree,pairwise_total,top1_hits_best,top3_hits_best,top3_overlap_fraction
tair_first_step_mae,selection,mpc_tair_mae,-0.0033077463641384983,-0.3147058823529411,0.35,42,120,False,False,0.0
tair_first_step_mae,selection,mpc_rhair_mae,0.608839920166567,-0.03529411764705882,0.5,60,120,False,False,0.0
tair_first_step_mae,selection,mpc_co2_mae,0.09157201244432082,0.3588235294117647,0.625,75,120,False,False,0.3333333333333333
tair_first_step_mae,selection,mpc_objective,0.749467797212953,0.011764705882352941,0.4666666666666667,56,120,False,False,0.0
tair_control_horizon_mae,selection,mpc_tair_mae,0.011528655799900454,-0.13686537921647302,0.44537815126050423,53,119,False,False,0.0
tair_control_horizon_mae,selection,mpc_rhair_mae,0.5896453887022588,0.08094189093447328,0.5210084033613446,62,119,False,False,0.0
tair_control_horizon_mae,selection,mpc_co2_mae,-0.01506413957746403,0.34289928341331405,0.6134453781512605,73,119,False,True,0.3333333333333333
tair_control_horizon_mae,selection,mpc_objective,0.750519432362827,0.12803535475089411,0.5294117647058824,63,119,False,False,0.0
tair_weighted_horizon_mae,selection,mpc_tair_mae,-0.17609579184846455,-0.4147058823529412,0.3416666666666667,41,120,False,False,0.0
tair_weighted_horizon_mae,selection,mpc_rhair_mae,0.4151880923825796,-0.09117647058823529,0.4583333333333333,55,120,False,False,0.0
tair_weighted_horizon_mae,selection,mpc_co2_mae,0.050320338570416075,0.37941176470588234,0.65,78,120,False,True,0.3333333333333333
tair_weighted_horizon_mae,selection,mpc_objective,0.5832958519391656,-0.06470588235294117,0.44166666666666665,53,120,False,False,0.0
tair_full_horizon_mae,selection,mpc_tair_mae,-0.19514657142200412,-0.411764705882353,0.35,42,120,False,False,0.0
tair_full_horizon_mae,selection,mpc_rhair_mae,0.3926051199042227,-0.09411764705882353,0.45,54,120,False,False,0.0
tair_full_horizon_mae,selection,mpc_co2_mae,0.056280308958415494,0.3764705882352941,0.6416666666666667,77,120,False,True,0.3333333333333333
tair_full_horizon_mae,selection,mpc_objective,0.5612632390545822,-0.06176470588235294,0.45,54,120,False,False,0.0
tair_final_step_mae,selection,mpc_tair_mae,-0.2592507901621107,-0.4764705882352941,0.3416666666666667,41,120,False,False,0.0
tair_final_step_mae,selection,mpc_rhair_mae,0.27267064867223584,-0.2058823529411765,0.39166666666666666,47,120,False,False,0.0
tair_final_step_mae,selection,mpc_co2_mae,0.056332965981456734,0.06764705882352941,0.5166666666666667,62,120,False,False,0.0
tair_final_step_mae,selection,mpc_objective,0.4624523278073488,-0.12941176470588234,0.44166666666666665,53,120,False,False,0.0
