start_idx,model_count,control_target,metric,role,full_spearman,full_pairwise_consistency,leave_one_model_spearman_min,leave_one_model_pairwise_min
0,16,mpc_tair_mae,tair_first_step_mae,offline_or_diagnostic_only,-0.008823529411764706,0.49166666666666664,-0.1607142857142857,0.4380952380952381
0,16,mpc_rhair_mae,rhair_first_step_mae,weak_selection,0.2823529411764706,0.6166666666666667,0.12857142857142856,0.5619047619047619
0,16,mpc_co2_mae,co2_first_step_mae,secondary_selection,0.3664460153215245,0.6302521008403361,0.2678571428571428,0.5904761904761905
0,16,mpc_co2_mae,co2_constraint_near_mae_proxy,offline_or_diagnostic_only,0.14705882352941177,0.5583333333333333,0.04285714285714285,0.5142857142857142
0,16,mpc_objective,multiobjective_transfer_selection_score,weak_selection,0.3382352941176471,0.6166666666666667,0.18214285714285713,0.5523809523809524
96,16,mpc_tair_mae,tair_first_step_mae,offline_or_diagnostic_only,-0.055882352941176466,0.49166666666666664,-0.19999999999999998,0.4380952380952381
96,16,mpc_rhair_mae,rhair_first_step_mae,offline_or_diagnostic_only,-0.06764705882352941,0.4583333333333333,-0.2964285714285714,0.38095238095238093
96,16,mpc_co2_mae,co2_first_step_mae,offline_or_diagnostic_only,-0.26342906322310394,0.3949579831932773,-0.4021449326983562,0.34615384615384615
96,16,mpc_co2_mae,co2_constraint_near_mae_proxy,offline_or_diagnostic_only,-0.4294117647058823,0.375,-0.5857142857142856,0.3142857142857143
96,16,mpc_objective,multiobjective_transfer_selection_score,offline_or_diagnostic_only,-0.07352941176470588,0.4583333333333333,-0.3107142857142856,0.37142857142857144
192,16,mpc_tair_mae,tair_first_step_mae,weak_selection,0.3323529411764706,0.6083333333333333,0.22142857142857136,0.5714285714285714
192,16,mpc_rhair_mae,rhair_first_step_mae,offline_or_diagnostic_only,0.17352941176470588,0.5833333333333334,0.04642857142857142,0.5333333333333333
192,16,mpc_co2_mae,co2_first_step_mae,offline_or_diagnostic_only,-0.24282567280341982,0.4117647058823529,-0.3592494732105315,0.375
192,16,mpc_co2_mae,co2_constraint_near_mae_proxy,offline_or_diagnostic_only,-0.4147058823529412,0.3333333333333333,-0.5071428571428571,0.29523809523809524
192,16,mpc_objective,multiobjective_transfer_selection_score,offline_or_diagnostic_only,0.14411764705882352,0.5666666666666667,-0.010714285714285713,0.5238095238095238
