metric,metric_kind,control_target,pearson,spearman,pairwise_consistency,pairwise_agree,pairwise_total,top1_hits_best,top3_hits_best,top3_overlap_fraction
tair_first_step_mae,selection,mpc_tair_mae,0.029919735206491674,-0.055882352941176466,0.49166666666666664,59,120,False,False,0.0
tair_first_step_mae,selection,mpc_rhair_mae,0.8091997778611199,0.5705882352941177,0.7166666666666667,86,120,False,False,0.3333333333333333
tair_first_step_mae,selection,mpc_co2_mae,0.009110147026335622,-0.2823529411764706,0.39166666666666666,47,120,False,False,0.0
tair_first_step_mae,selection,mpc_objective,0.8233343951445298,-0.11176470588235293,0.4583333333333333,55,120,False,False,0.0
tair_control_horizon_mae,selection,mpc_tair_mae,-0.026765145000319117,-0.1456954036820519,0.46218487394957986,55,119,False,False,0.0
tair_control_horizon_mae,selection,mpc_rhair_mae,0.8057551174795059,0.3473142956461035,0.6218487394957983,74,119,False,False,0.3333333333333333
tair_control_horizon_mae,selection,mpc_co2_mae,0.027137597950066032,-0.13686537921647302,0.48739495798319327,58,119,False,False,0.0
tair_control_horizon_mae,selection,mpc_objective,0.8183581918075816,-0.1221486717738415,0.44537815126050423,53,119,False,False,0.0
tair_weighted_horizon_mae,selection,mpc_tair_mae,-0.1371561524384288,-0.3235294117647059,0.38333333333333336,46,120,False,False,0.0
tair_weighted_horizon_mae,selection,mpc_rhair_mae,0.7767762341163863,0.22352941176470587,0.5916666666666667,71,120,False,False,0.0
tair_weighted_horizon_mae,selection,mpc_co2_mae,0.0016599165714325948,0.0588235294117647,0.5166666666666667,62,120,False,False,0.3333333333333333
tair_weighted_horizon_mae,selection,mpc_objective,0.7322566273810672,-0.1323529411764706,0.43333333333333335,52,120,False,False,0.0
tair_full_horizon_mae,selection,mpc_tair_mae,-0.14634734061496146,-0.31764705882352945,0.4,48,120,False,False,0.0
tair_full_horizon_mae,selection,mpc_rhair_mae,0.7698832548030121,0.2352941176470588,0.6083333333333333,73,120,False,False,0.0
tair_full_horizon_mae,selection,mpc_co2_mae,-0.00042330319641036354,0.0411764705882353,0.5,60,120,False,False,0.0
tair_full_horizon_mae,selection,mpc_objective,0.7203031684859079,-0.12352941176470587,0.45,54,120,False,False,0.0
tair_final_step_mae,selection,mpc_tair_mae,-0.1546028892814714,-0.08529411764705883,0.5,60,120,False,False,0.0
tair_final_step_mae,selection,mpc_rhair_mae,0.7203962315616708,0.17058823529411765,0.5583333333333333,67,120,False,False,0.0
tair_final_step_mae,selection,mpc_co2_mae,-0.0010916397440370762,0.02058823529411765,0.5333333333333333,64,120,False,False,0.0
tair_final_step_mae,selection,mpc_objective,0.6775743147510582,0.09705882352941177,0.5333333333333333,64,120,False,False,0.0
tair_control_horizon_abs_bias,selection,mpc_tair_mae,-0.15949527754152354,0.06764705882352941,0.5583333333333333,67,120,False,False,0.3333333333333333
tair_control_horizon_abs_bias,selection,mpc_rhair_mae,0.593145998004861,0.2411764705882353,0.6,72,120,False,False,0.0
