metric,control_target,role,full_spearman,full_pairwise_consistency,leave_one_model_spearman_min,leave_one_model_spearman_mean,leave_one_model_spearman_max,leave_one_model_pairwise_min,leave_one_model_pairwise_mean,leave_one_model_pairwise_max,leave_one_family_spearman_min,leave_one_family_spearman_mean,leave_one_family_spearman_max,leave_one_family_pairwise_min,leave_one_family_pairwise_mean,leave_one_family_pairwise_max
tair_first_step_mae,mpc_tair_mae,weak_selection,0.3323529411764706,0.6083333333333333,0.22142857142857136,0.33080357142857136,0.5535714285714285,0.5714285714285714,0.6083333333333334,0.6761904761904762,0.22142857142857136,0.3326173826173826,0.6263736263736264,0.5641025641025641,0.6093240093240092,0.717948717948718
tair_first_step_mae,mpc_rhair_mae,weak_selection,0.34705882352941175,0.625,0.2285714285714285,0.3457589285714285,0.4642857142857142,0.580952380952381,0.625,0.6761904761904762,0.2285714285714285,0.3474525474525474,0.4642857142857142,0.580952380952381,0.6257409257409257,0.6761904761904762
tair_first_step_mae,mpc_co2_mae,offline_or_diagnostic_only,-0.023529411764705882,0.4666666666666667,-0.175,-0.024107142857142855,0.11428571428571425,0.4095238095238095,0.4666666666666667,0.5142857142857142,-0.20329670329670327,-0.023226773226773224,0.15384615384615383,0.4095238095238095,0.46699966699966705,0.5384615384615384
tair_first_step_mae,mpc_objective,offline_or_diagnostic_only,0.1764705882352941,0.55,0.04642857142857142,0.17544642857142856,0.3428571428571428,0.5047619047619047,0.55,0.6095238095238096,0.027472527472527472,0.17674825174825173,0.37912087912087916,0.46153846153846156,0.5501498501498502,0.6282051282051282
tair_control_horizon_mae,mpc_tair_mae,offline_or_diagnostic_only,0.21339225791815683,0.5546218487394958,0.07685436491568585,0.2119934023890396,0.34852560833857543,0.5096153846153846,0.5546130952380952,0.5961538461538461,0.07685436491568585,0.21371706618347916,0.514443402768482,0.5096153846153846,0.5550182141091231,0.6493506493506493
tair_control_horizon_mae,mpc_rhair_mae,secondary_selection,0.4459162355117346,0.680672268907563,0.3270778785946631,0.4447610999149375,0.5737267706496549,0.6346153846153846,0.6806433150183151,0.7211538461538461,0.3270778785946631,0.44349758710084264,0.5914723614717842,0.6346153846153846,0.6806279579006852,0.7402597402597403
tair_control_horizon_mae,mpc_co2_mae,offline_or_diagnostic_only,0.042678451583631365,0.5210084033613446,-0.0947274730356128,0.042666856925920746,0.18051839201126213,0.47115384615384615,0.5210050366300367,0.5673076923076923,-0.18431929404004438,0.03988672736466889,0.20242036451305656,0.44155844155844154,0.5204020726748,0.5777777777777777
tair_control_horizon_mae,mpc_objective,offline_or_diagnostic_only,0.244297343547683,0.5882352941176471,0.128686378463474,0.2433804541694589,0.3753352705184658,0.5480769230769231,0.5882268772893773,0.6346153846153846,0.024759308154632828,0.242761251813013,0.46767582069862007,0.4935064935064935,0.5877536604809332,0.6753246753246753
tair_weighted_horizon_mae,mpc_tair_mae,secondary_selection,0.38823529411764707,0.6166666666666667,0.2785714285714285,0.38616071428571425,0.5071428571428571,0.5714285714285714,0.6166666666666667,0.6666666666666666,0.2785714285714285,0.3889360639360639,0.5714285714285714,0.5714285714285714,0.6185814185814186,0.6794871794871795
tair_weighted_horizon_mae,mpc_rhair_mae,secondary_selection,0.3941176470588235,0.65,0.2642857142857143,0.3928571428571428,0.5285714285714286,0.6,0.65,0.6952380952380952,0.1758241758241758,0.38568931068931067,0.5549450549450549,0.5641025641025641,0.6467865467865468,0.7051282051282052
tair_weighted_horizon_mae,mpc_co2_mae,weak_selection,0.28823529411764703,0.5916666666666667,0.17857142857142855,0.2868303571428571,0.457142857142857,0.5428571428571428,0.5916666666666667,0.6476190476190476,0.17032967032967034,0.28978521478521474,0.457142857142857,0.5428571428571428,0.5931401931401932,0.6476190476190476
tair_weighted_horizon_mae,mpc_objective,offline_or_diagnostic_only,0.2441176470588235,0.5916666666666667,0.09285714285714285,0.24330357142857142,0.34642857142857136,0.5428571428571428,0.5916666666666667,0.638095238095238,-0.005494505494505494,0.24338161838161837,0.4197802197802198,0.5,0.591042291042291,0.6593406593406593
tair_full_horizon_mae,mpc_tair_mae,secondary_selection,0.4088235294117647,0.6166666666666667,0.30357142857142855,0.40647321428571426,0.532142857142857,0.5714285714285714,0.6166666666666667,0.6666666666666666,0.30357142857142855,0.40819180819180817,0.5659340659340659,0.5714285714285714,0.617982017982018,0.6666666666666666
tair_full_horizon_mae,mpc_rhair_mae,secondary_selection,0.4294117647058823,0.6666666666666666,0.3071428571428571,0.428125,0.532142857142857,0.6190476190476191,0.6666666666666667,0.7142857142857143,0.18131868131868134,0.4199050949050948,0.5604395604395606,0.5769230769230769,0.6632367632367632,0.717948717948718
tair_full_horizon_mae,mpc_co2_mae,weak_selection,0.2823529411764706,0.5916666666666667,0.1714285714285714,0.28102678571428563,0.44999999999999996,0.5428571428571428,0.5916666666666668,0.6476190476190476,0.1714285714285714,0.2847902097902097,0.44999999999999996,0.5428571428571428,0.5937395937395937,0.6476190476190476
tair_full_horizon_mae,mpc_objective,weak_selection,0.27058823529411763,0.6083333333333333,0.125,0.26986607142857144,0.37857142857142856,0.5619047619047619,0.6083333333333334,0.6571428571428571,0.0,0.2691058941058941,0.45054945054945056,0.5128205128205128,0.6074925074925074,0.6813186813186813
tair_final_step_mae,mpc_tair_mae,offline_or_diagnostic_only,0.16764705882352943,0.5666666666666667,0.010714285714285713,0.1671875,0.27499999999999997,0.5142857142857142,0.5666666666666667,0.6095238095238096,0.010714285714285713,0.1696303696303696,0.27499999999999997,0.5142857142857142,0.5679653679653679,0.6095238095238096
tair_final_step_mae,mpc_rhair_mae,primary_selection,0.6147058823529412,0.75,0.5464285714285714,0.6131696428571427,0.7857142857142856,0.7238095238095238,0.75,0.819047619047619,0.4945054945054945,0.6093156843156843,0.7857142857142856,0.7051282051282052,0.7487512487512489,0.819047619047619
tair_final_step_mae,mpc_co2_mae,offline_or_diagnostic_only,0.049999999999999996,0.525,-0.11071428571428568,0.05,0.22499999999999998,0.4666666666666667,0.525,0.5904761904761905,-0.11071428571428568,0.052122877122877116,0.21428571428571427,0.4666666666666667,0.5259407259407258,0.5897435897435898
tair_final_step_mae,mpc_objective,offline_or_diagnostic_only,0.2029411764705882,0.575,0.04285714285714285,0.20223214285714283,0.28571428571428564,0.5238095238095238,0.575,0.6095238095238096,0.04285714285714285,0.2008491508491508,0.3098901098901099,0.5128205128205128,0.576123876123876,0.6282051282051282
tair_control_horizon_abs_bias,mpc_tair_mae,offline_or_diagnostic_only,0.06176470588235294,0.5083333333333333,-0.10714285714285714,0.06116071428571427,0.2071428571428571,0.45714285714285713,0.5083333333333333,0.5619047619047619,-0.10714285714285714,0.06311188811188811,0.26373626373626374,0.45714285714285713,0.50999000999001,0.5897435897435898
tair_control_horizon_abs_bias,mpc_rhair_mae,secondary_selection,0.5970588235294118,0.6916666666666667,0.5357142857142856,0.5941964285714285,0.7071428571428571,0.6571428571428571,0.6916666666666667,0.7333333333333333,0.5252747252747253,0.5889110889110888,0.7252747252747254,0.6483516483516484,0.6902430902430903,0.7435897435897436
tair_control_horizon_abs_bias,mpc_co2_mae,offline_or_diagnostic_only,0.0,0.5,-0.1607142857142857,0.0,0.10714285714285714,0.44761904761904764,0.5,0.5428571428571428,-0.16483516483516483,-0.0005494505494505475,0.1252747252747253,0.4358974358974359,0.49893439893439895,0.5428571428571428
tair_control_horizon_abs_bias,mpc_objective,objective_secondary_selection,0.36176470588235293,0.6333333333333333,0.2571428571428571,0.3604910714285714,0.46071428571428563,0.5904761904761905,0.6333333333333333,0.6666666666666666,0.2678571428571428,0.36253746253746244,0.48571428571428577,0.6,0.6338994338994337,0.6813186813186813
tair_constraint_near_mae_proxy,mpc_tair_mae,offline_or_diagnostic_only,0.15158208665910447,0.5462184873949579,-0.008936554059963471,0.15077880534142904,0.2520108244909699,0.49038461538461536,0.54617673992674,0.5865384615384616,-0.008936554059963471,0.1543488293145931,0.34938134840426316,0.49038461538461536,0.5466515807424898,0.6103896103896104
tair_constraint_near_mae_proxy,mpc_rhair_mae,weak_selection,0.28108911215426174,0.5882352941176471,0.14119755414742285,0.27969338723523735,0.42359266244226856,0.5384615384615384,0.5882783882783882,0.6442307692307693,0.14119755414742285,0.27700392620555514,0.44291651254398723,0.5384615384615384,0.5874446260809898,0.6493506493506493
tair_constraint_near_mae_proxy,mpc_co2_mae,offline_or_diagnostic_only,0.10154528135415737,0.5294117647058824,-0.048257391923802746,0.10096869214108155,0.24128695961901372,0.47115384615384615,0.5293956043956045,0.5769230769230769,-0.18431929404004438,0.09462183464649045,0.24128695961901372,0.4155844155844156,0.5272258044985317,0.5769230769230769
tair_constraint_near_mae_proxy,mpc_objective,offline_or_diagnostic_only,0.23546731908210405,0.5630252100840336,0.08221629735166394,0.2340042567747501,0.4253799732542613,0.5096153846153846,0.5630437271062271,0.625,0.08221629735166394,0.23182072718159538,0.4253799732542613,0.5096153846153846,0.562068487068487,0.625
rhair_first_step_mae,mpc_tair_mae,offline_or_diagnostic_only,-0.09705882352941177,0.4666666666666667,-0.23928571428571427,-0.0966517857142857,0.05357142857142857,0.41904761904761906,0.4666666666666667,0.5238095238095238,-0.39560439560439564,-0.1035964035964036,0.05357142857142857,0.358974358974359,0.46396936396936395,0.5238095238095238
rhair_first_step_mae,mpc_rhair_mae,offline_or_diagnostic_only,0.17352941176470588,0.5833333333333334,0.04642857142857142,0.17343749999999997,0.3857142857142856,0.5333333333333333,0.5833333333333333,0.6571428571428571,0.049450549450549455,0.17170329670329668,0.3857142857142856,0.5256410256410257,0.5827505827505827,0.6571428571428571
rhair_first_step_mae,mpc_co2_mae,offline_or_diagnostic_only,-0.34705882352941175,0.375,-0.4428571428571427,-0.34575892857142854,-0.23571428571428568,0.3333333333333333,0.375,0.41904761904761906,-0.6208791208791209,-0.3509240759240759,-0.23571428571428568,0.2564102564102564,0.37266067266067265,0.41904761904761906
rhair_first_step_mae,mpc_objective,weak_selection,0.3,0.625,0.15,0.2993303571428571,0.5249999999999999,0.5714285714285714,0.625,0.7047619047619048,0.06593406593406594,0.2929320679320679,0.5249999999999999,0.5384615384615384,0.6231102231102231,0.7047619047619048
rhair_control_horizon_mae,mpc_tair_mae,offline_or_diagnostic_only,-0.02941176470588235,0.475,-0.1607142857142857,-0.0296875,0.08214285714285713,0.42857142857142855,0.475,0.5047619047619047,-0.21428571428571427,-0.03531468531468531,0.06071428571428571,0.4230769230769231,0.47385947385947386,0.49523809523809526
rhair_control_horizon_mae,mpc_rhair_mae,offline_or_diagnostic_only,0.06176470588235294,0.525,-0.08928571428571427,0.061607142857142846,0.25,0.4666666666666667,0.5249999999999999,0.5904761904761905,-0.039285714285714285,0.06338661338661336,0.25,0.48717948717948717,0.5255744255744256,0.5904761904761905
rhair_control_horizon_mae,mpc_co2_mae,offline_or_diagnostic_only,-0.09117647058823529,0.48333333333333334,-0.2321428571428571,-0.09040178571428571,0.014285714285714282,0.4380952380952381,0.4833333333333334,0.5238095238095238,-0.3131868131868132,-0.09717782217782217,0.014285714285714282,0.3974358974358974,0.48131868131868133,0.5256410256410257
rhair_control_horizon_mae,mpc_objective,weak_selection,0.3294117647058824,0.6333333333333333,0.1857142857142857,0.3285714285714285,0.5142857142857142,0.580952380952381,0.6333333333333333,0.6952380952380952,0.12087912087912088,0.3205544455544455,0.5142857142857142,0.5512820512820513,0.6308691308691309,0.6952380952380952
rhair_weighted_horizon_mae,mpc_tair_mae,weak_selection,0.32229589299362993,0.6050420168067226,0.19839150013118906,0.32078916283241166,0.49151047329799097,0.5576923076923077,0.6050595238095238,0.6634615384615384,0.1568089516460079,0.3187210310960787,0.49151047329799097,0.5324675324675324,0.6040984268256996,0.6634615384615384
rhair_weighted_horizon_mae,mpc_rhair_mae,weak_selection,0.2781457706657354,0.5966386554621849,0.13762293252343746,0.2769892713862114,0.3928571428571428,0.5480769230769231,0.5965888278388278,0.638095238095238,0.13762293252343746,0.27856072779890256,0.3928571428571428,0.5480769230769231,0.5971927062836154,0.638095238095238
rhair_weighted_horizon_mae,mpc_co2_mae,offline_or_diagnostic_only,0.2104489164296305,0.5714285714285714,0.08400360816365662,0.20953824481196728,0.3699733380824877,0.5192307692307693,0.5714285714285714,0.625,-0.0027510342394036474,0.2047122628831821,0.3878958277559143,0.4935064935064935,0.5700882450882451,0.6493506493506493
rhair_weighted_horizon_mae,mpc_objective,objective_secondary_selection,0.45033124774452404,0.6554621848739496,0.33243981103064113,0.4484496236883052,0.5647902165896914,0.6057692307692307,0.6554544413919414,0.7019230769230769,0.2448420473069246,0.44491897511648926,0.577717190274766,0.5714285714285714,0.6542069042069042,0.7142857142857143
rhair_full_horizon_mae,mpc_tair_mae,secondary_selection,0.3529411764705882,0.625,0.23571428571428568,0.3515625,0.5285714285714286,0.580952380952381,0.625,0.6857142857142857,0.2087912087912088,0.3495004995004995,0.5285714285714286,0.5641025641025641,0.6233433233433233,0.6857142857142857
rhair_full_horizon_mae,mpc_rhair_mae,weak_selection,0.29705882352941176,0.6083333333333333,0.1607142857142857,0.29598214285714286,0.4142857142857142,0.5619047619047619,0.6083333333333334,0.6476190476190476,0.1607142857142857,0.2972277722277722,0.4142857142857142,0.5619047619047619,0.6089244089244089,0.6476190476190476
rhair_full_horizon_mae,mpc_co2_mae,weak_selection,0.2588235294117647,0.6,0.14285714285714282,0.25803571428571426,0.42499999999999993,0.5523809523809524,0.6,0.6571428571428571,0.07142857142857142,0.251973026973027,0.42499999999999993,0.5384615384615384,0.5981684981684982,0.6571428571428571
rhair_full_horizon_mae,mpc_objective,objective_secondary_selection,0.45,0.65,0.3321428571428571,0.4479910714285714,0.5642857142857142,0.6,0.65,0.6952380952380952,0.24175824175824176,0.4443806193806193,0.5824175824175823,0.5641025641025641,0.6492174492174493,0.717948717948718
rhair_final_step_mae,mpc_tair_mae,offline_or_diagnostic_only,0.24282567280341982,0.5798319327731093,0.10187671628358358,0.2417098394278358,0.45933887868212253,0.5288461538461539,0.579842032967033,0.6538461538461539,0.10187671628358358,0.24023691033392972,0.45933887868212253,0.5288461538461539,0.5789654789654789,0.6538461538461539
rhair_final_step_mae,mpc_rhair_mae,secondary_selection,0.4576896014658398,0.6554621848739496,0.34852560833857543,0.4557015934017095,0.5607142857142856,0.6153846153846154,0.6554143772893773,0.6952380952380952,0.34852560833857543,0.4582123911253079,0.5804682245141696,0.6153846153846154,0.6568618250436432,0.7142857142857143
rhair_final_step_mae,mpc_co2_mae,offline_or_diagnostic_only,0.09271525688857848,0.5126050420168067,-0.05898125679575892,0.09181311467688462,0.23771233799502833,0.4519230769230769,0.512603021978022,0.5576923076923077,-0.05898125679575892,0.08758176352644968,0.23771233799502833,0.4519230769230769,0.511373222736859,0.5576923076923077
rhair_final_step_mae,mpc_objective,weak_selection,0.3208242222493668,0.6134453781512605,0.18588032444724023,0.31955479880719223,0.43610383812621745,0.5673076923076923,0.6134329212454213,0.6538461538461539,0.18588032444724023,0.32014554251943345,0.43610383812621745,0.5673076923076923,0.6133038678493224,0.6538461538461539
rhair_control_horizon_abs_bias,mpc_tair_mae,offline_or_diagnostic_only,-0.5058823529411764,0.325,-0.6107142857142855,-0.5037946428571427,-0.39999999999999997,0.29523809523809524,0.325,0.37142857142857144,-0.6703296703296703,-0.4998001998001998,-0.39999999999999997,0.2692307692307692,0.32597402597402597,0.37142857142857144
rhair_control_horizon_abs_bias,mpc_rhair_mae,offline_or_diagnostic_only,-0.25588235294117645,0.4083333333333333,-0.34642857142857136,-0.25491071428571427,-0.12142857142857141,0.37142857142857144,0.4083333333333333,0.45714285714285713,-0.34642857142857136,-0.2567682317682317,-0.12142857142857141,0.37142857142857144,0.4077922077922078,0.45714285714285713
