start_idx,model_count,control_target,metric,role,full_spearman,full_pairwise_consistency,leave_one_model_spearman_min,leave_one_model_pairwise_min
0,10,mpc_tair_mae,tair_first_step_mae,offline_or_diagnostic_only,-0.2727272727272727,0.4222222222222222,-0.5333333333333333,0.3333333333333333
0,10,mpc_rhair_mae,rhair_first_step_mae,secondary_selection,0.41818181818181815,0.6666666666666666,0.19999999999999998,0.5833333333333334
0,10,mpc_co2_mae,co2_first_step_mae,secondary_selection,0.498482545817653,0.7045454545454546,0.35983578576496095,0.6571428571428571
0,10,mpc_co2_mae,co2_constraint_near_mae_proxy,offline_or_diagnostic_only,0.006060606060606061,0.5111111111111111,-0.18333333333333335,0.4444444444444444
0,10,mpc_objective,multiobjective_transfer_selection_score,weak_selection,0.28484848484848485,0.6,0.016666666666666666,0.5
96,10,mpc_tair_mae,tair_first_step_mae,offline_or_diagnostic_only,-0.11515151515151514,0.4666666666666667,-0.39999999999999997,0.3611111111111111
96,10,mpc_rhair_mae,rhair_first_step_mae,offline_or_diagnostic_only,-0.10303030303030303,0.4444444444444444,-0.5166666666666667,0.3055555555555556
96,10,mpc_co2_mae,co2_first_step_mae,offline_or_diagnostic_only,-0.14589733048321551,0.4090909090909091,-0.42678197846541877,0.3142857142857143
96,10,mpc_co2_mae,co2_constraint_near_mae_proxy,offline_or_diagnostic_only,0.06666666666666665,0.5777777777777777,-0.13333333333333333,0.5
96,10,mpc_objective,multiobjective_transfer_selection_score,offline_or_diagnostic_only,0.18787878787878787,0.5555555555555556,-0.11666666666666665,0.4444444444444444
192,10,mpc_tair_mae,tair_first_step_mae,weak_selection,0.35757575757575755,0.6,0.18333333333333335,0.5277777777777778
192,10,mpc_rhair_mae,rhair_first_step_mae,offline_or_diagnostic_only,0.09090909090909088,0.5777777777777777,-0.11666666666666665,0.5
192,10,mpc_co2_mae,co2_first_step_mae,offline_or_diagnostic_only,-0.24316221747202585,0.4318181818181818,-0.43333333333333335,0.3611111111111111
192,10,mpc_co2_mae,co2_constraint_near_mae_proxy,offline_or_diagnostic_only,-0.34545454545454546,0.35555555555555557,-0.5166666666666667,0.2777777777777778
192,10,mpc_objective,multiobjective_transfer_selection_score,weak_selection,0.28484848484848485,0.6,0.11666666666666665,0.5555555555555556
