metric,metric_kind,control_target,pearson,spearman,pairwise_consistency,pairwise_agree,pairwise_total,top1_hits_best,top3_hits_best,top3_overlap_fraction
tair_first_step_mae,selection,mpc_tair_mae,-0.03053409108226016,-0.2727272727272727,0.4222222222222222,19,45,False,False,0.3333333333333333
tair_first_step_mae,selection,mpc_rhair_mae,0.6669712744110714,0.04242424242424241,0.4888888888888889,22,45,False,False,0.3333333333333333
tair_first_step_mae,selection,mpc_co2_mae,0.013126283538988546,-0.16363636363636364,0.4666666666666667,21,45,False,False,0.0
tair_first_step_mae,selection,mpc_objective,0.6241663714853907,-0.12727272727272726,0.4444444444444444,20,45,False,False,0.0
tair_control_horizon_mae,selection,mpc_tair_mae,-0.06892968960861567,-0.18237166310401937,0.4318181818181818,19,44,False,False,0.3333333333333333
tair_control_horizon_mae,selection,mpc_rhair_mae,0.6529915549229507,0.09726488698881033,0.5227272727272727,23,44,False,False,0.3333333333333333
tair_control_horizon_mae,selection,mpc_co2_mae,0.02138467813313057,-0.38905954795524134,0.38636363636363635,17,44,False,False,0.0
tair_control_horizon_mae,selection,mpc_objective,0.5934653574617516,-0.024316221747202584,0.4772727272727273,21,44,False,False,0.0
tair_weighted_horizon_mae,selection,mpc_tair_mae,-0.20778261090895098,-0.5151515151515151,0.3111111111111111,14,45,False,False,0.0
tair_weighted_horizon_mae,selection,mpc_rhair_mae,0.5331866754679377,-0.2121212121212121,0.37777777777777777,17,45,False,False,0.3333333333333333
tair_weighted_horizon_mae,selection,mpc_co2_mae,0.03330273991423529,0.04242424242424241,0.5777777777777777,26,45,False,True,0.3333333333333333
tair_weighted_horizon_mae,selection,mpc_objective,0.4621625346312611,-0.24848484848484845,0.37777777777777777,17,45,False,False,0.3333333333333333
tair_full_horizon_mae,selection,mpc_tair_mae,-0.22227353596937377,-0.5272727272727272,0.28888888888888886,13,45,False,False,0.0
tair_full_horizon_mae,selection,mpc_rhair_mae,0.5176984373329663,-0.19999999999999998,0.4,18,45,False,False,0.3333333333333333
tair_full_horizon_mae,selection,mpc_co2_mae,0.03525039323617557,0.0303030303030303,0.5555555555555556,25,45,False,True,0.3333333333333333
tair_full_horizon_mae,selection,mpc_objective,0.44647414436304533,-0.23636363636363633,0.4,18,45,False,False,0.3333333333333333
tair_final_step_mae,selection,mpc_tair_mae,-0.2622365718240619,-0.28484848484848485,0.37777777777777777,17,45,False,False,0.0
tair_final_step_mae,selection,mpc_rhair_mae,0.46142053467092153,-0.04242424242424241,0.4888888888888889,22,45,False,False,0.3333333333333333
tair_final_step_mae,selection,mpc_co2_mae,0.04091867058534983,-0.0303030303030303,0.5111111111111111,23,45,False,True,0.3333333333333333
tair_final_step_mae,selection,mpc_objective,0.396658960802348,-0.06666666666666665,0.4888888888888889,22,45,False,False,0.3333333333333333
tair_control_horizon_abs_bias,selection,mpc_tair_mae,-0.02222605591060142,0.23636363636363633,0.6222222222222222,28,45,True,True,0.3333333333333333
tair_control_horizon_abs_bias,selection,mpc_rhair_mae,0.6320230359116003,0.5272727272727272,0.6888888888888889,31,45,True,True,0.6666666666666666
tair_control_horizon_abs_bias,selection,mpc_co2_mae,-0.18863406456289283,-0.24848484848484845,0.4444444444444444,20,45,False,True,0.3333333333333333
tair_control_horizon_abs_bias,selection,mpc_objective,0.478438558922402,0.3939393939393939,0.6888888888888889,31,45,True,True,0.6666666666666666
tair_constraint_near_mae_proxy,selection,mpc_tair_mae,-0.19377969978341014,-0.12158110873601292,0.45454545454545453,20,44,False,False,0.0
tair_constraint_near_mae_proxy,selection,mpc_rhair_mae,0.49310908253968194,0.18237166310401937,0.5454545454545454,24,44,False,False,0.3333333333333333
tair_constraint_near_mae_proxy,selection,mpc_co2_mae,0.08878979663464262,0.2553203283456271,0.5909090909090909,26,44,False,True,0.3333333333333333
tair_constraint_near_mae_proxy,selection,mpc_objective,0.40898366786731566,0.07294866524160776,0.5454545454545454,24,44,False,False,0.3333333333333333
rhair_first_step_mae,selection,mpc_tair_mae,0.3815980709099428,0.5757575757575757,0.6888888888888889,31,45,False,True,0.6666666666666666
rhair_first_step_mae,selection,mpc_rhair_mae,0.7672335277017825,0.41818181818181815,0.6666666666666666,30,45,False,True,0.3333333333333333
