metric,metric_kind,control_target,pearson,spearman,pairwise_consistency,pairwise_agree,pairwise_total,top1_hits_best,top3_hits_best,top3_overlap_fraction
tair_first_step_mae,selection,mpc_tair_mae,-0.030368522255982362,-0.12347826086956522,0.463768115942029,128,276,False,False,0.0
tair_first_step_mae,selection,mpc_rhair_mae,0.4818950828544854,0.18956521739130433,0.5688405797101449,157,276,False,False,0.3333333333333333
tair_first_step_mae,selection,mpc_co2_mae,0.08999076712465388,0.13739130434782607,0.5543478260869565,153,276,False,False,0.0
tair_first_step_mae,selection,mpc_objective,0.37255570699377266,0.13999999999999999,0.5471014492753623,151,276,False,True,0.3333333333333333
tair_control_horizon_mae,selection,mpc_tair_mae,-0.032893511582087726,-0.05783866194567908,0.5018181818181818,138,275,False,False,0.0
tair_control_horizon_mae,selection,mpc_rhair_mae,0.44478188219644377,0.1622091797423932,0.56,154,275,False,False,0.0
tair_control_horizon_mae,selection,mpc_co2_mae,0.007487181765890239,0.14916286501780396,0.5563636363636364,153,275,False,False,0.0
tair_control_horizon_mae,selection,mpc_objective,0.3619914806879157,0.13916069039561885,0.5454545454545454,150,275,False,False,0.0
tair_weighted_horizon_mae,selection,mpc_tair_mae,-0.14310302544818357,-0.2817391304347826,0.40942028985507245,113,276,False,False,0.0
tair_weighted_horizon_mae,selection,mpc_rhair_mae,0.3558538072416233,0.047826086956521734,0.5,138,276,False,False,0.0
tair_weighted_horizon_mae,selection,mpc_co2_mae,0.03563115164131004,0.21652173913043476,0.572463768115942,158,276,False,False,0.0
tair_weighted_horizon_mae,selection,mpc_objective,0.25695367540038105,0.013043478260869565,0.5144927536231884,142,276,False,False,0.0
tair_full_horizon_mae,selection,mpc_tair_mae,-0.15432467419489318,-0.2617391304347826,0.41304347826086957,114,276,False,False,0.0
tair_full_horizon_mae,selection,mpc_rhair_mae,0.3432289239092467,0.05913043478260869,0.5108695652173914,141,276,False,False,0.0
tair_full_horizon_mae,selection,mpc_co2_mae,0.037904081374325875,0.20608695652173914,0.5615942028985508,155,276,False,False,0.0
tair_full_horizon_mae,selection,mpc_objective,0.24331875931489605,0.02260869565217391,0.5253623188405797,145,276,False,False,0.0
tair_final_step_mae,selection,mpc_tair_mae,-0.18689022536952224,-0.2834782608695652,0.39492753623188404,109,276,False,False,0.0
tair_final_step_mae,selection,mpc_rhair_mae,0.2777810050644626,0.05913043478260869,0.5217391304347826,144,276,False,False,0.0
tair_final_step_mae,selection,mpc_co2_mae,0.029769556409180685,0.05130434782608695,0.5217391304347826,144,276,False,False,0.0
tair_final_step_mae,selection,mpc_objective,0.18287914468641703,0.007826086956521738,0.5072463768115942,140,276,False,True,0.3333333333333333
tair_control_horizon_abs_bias,selection,mpc_tair_mae,-0.03835833222686438,-0.010434782608695651,0.4891304347826087,135,276,False,True,0.3333333333333333
tair_control_horizon_abs_bias,selection,mpc_rhair_mae,0.3449301179481267,0.35913043478260864,0.6231884057971014,172,276,False,True,0.3333333333333333
tair_control_horizon_abs_bias,selection,mpc_co2_mae,0.1384664816343777,0.2573913043478261,0.5797101449275363,160,276,False,False,0.0
tair_control_horizon_abs_bias,selection,mpc_objective,0.2280216418688415,0.2052173913043478,0.572463768115942,158,276,False,False,0.3333333333333333
tair_constraint_near_mae_proxy,selection,mpc_tair_mae,-0.11702122941321531,-0.13437704166326947,0.45454545454545453,125,275,False,False,0.0
tair_constraint_near_mae_proxy,selection,mpc_rhair_mae,0.2729953779210815,0.18743205487659917,0.5709090909090909,157,275,False,False,0.0
tair_constraint_near_mae_proxy,selection,mpc_co2_mae,-0.02309735168041611,0.13785605892315994,0.5527272727272727,152,275,False,False,0.0
tair_constraint_near_mae_proxy,selection,mpc_objective,0.2245175279447454,0.08958469444217963,0.5636363636363636,155,275,False,False,0.0
rhair_first_step_mae,selection,mpc_tair_mae,0.3526577233262575,0.32521739130434785,0.5905797101449275,163,276,False,True,0.6666666666666666
rhair_first_step_mae,selection,mpc_rhair_mae,0.7023878814824956,0.5921739130434782,0.7318840579710145,202,276,False,True,0.3333333333333333
rhair_first_step_mae,selection,mpc_co2_mae,0.23351924282388523,0.34434782608695647,0.6086956521739131,168,276,False,False,0.0
rhair_first_step_mae,selection,mpc_objective,0.6834389061806334,0.5069565217391303,0.7028985507246377,194,276,True,True,1.0
rhair_control_horizon_mae,selection,mpc_tair_mae,0.19931042481697897,0.09436834317452904,0.5309090909090909,146,275,False,False,0.0
rhair_control_horizon_mae,selection,mpc_rhair_mae,0.629593126762467,0.4848880305972345,0.6690909090909091,184,275,False,False,0.0
rhair_control_horizon_mae,selection,mpc_co2_mae,0.26389551068984485,0.2761469950038062,0.6036363636363636,166,275,False,False,0.0
rhair_control_horizon_mae,selection,mpc_objective,0.557486769126489,0.3492063574615061,0.6290909090909091,173,275,True,True,0.3333333333333333
rhair_weighted_horizon_mae,selection,mpc_tair_mae,-0.2789399918415242,-0.33181127116205367,0.36363636363636365,100,275,False,True,0.3333333333333333
rhair_weighted_horizon_mae,selection,mpc_rhair_mae,0.32600522084003014,0.10480539495420045,0.5309090909090909,146,275,False,True,0.3333333333333333
rhair_weighted_horizon_mae,selection,mpc_co2_mae,0.307529176258679,0.06479669646546002,0.52,143,275,False,False,0.0
rhair_weighted_horizon_mae,selection,mpc_objective,0.10796438250518792,0.006088280204808325,0.49454545454545457,136,275,True,True,0.6666666666666666
rhair_full_horizon_mae,selection,mpc_tair_mae,-0.3198847595604775,-0.3643478260869565,0.35507246376811596,98,276,False,True,0.3333333333333333
rhair_full_horizon_mae,selection,mpc_rhair_mae,0.28705547416989385,0.07652173913043478,0.5253623188405797,145,276,False,True,0.3333333333333333
rhair_full_horizon_mae,selection,mpc_co2_mae,0.3025600702781394,0.07739130434782608,0.5181159420289855,143,276,False,False,0.0
rhair_full_horizon_mae,selection,mpc_objective,0.05830932227497615,-0.017391304347826087,0.4891304347826087,135,276,True,True,0.6666666666666666
rhair_final_step_mae,selection,mpc_tair_mae,-0.4217965388780825,-0.397042844785,0.34545454545454546,95,275,True,True,0.3333333333333333
rhair_final_step_mae,selection,mpc_rhair_mae,0.1621931406522917,-0.03174603249650055,0.48363636363636364,133,275,True,True,0.3333333333333333
rhair_final_step_mae,selection,mpc_co2_mae,0.21111883691730346,-0.0821917827649124,0.48727272727272725,134,275,False,False,0.0
rhair_final_step_mae,selection,mpc_objective,-0.09905764246503916,-0.1026310091667689,0.4618181818181818,127,275,False,False,0.3333333333333333
rhair_control_horizon_abs_bias,selection,mpc_tair_mae,0.23039547178528072,0.09826086956521737,0.5289855072463768,146,276,False,False,0.0
rhair_control_horizon_abs_bias,selection,mpc_rhair_mae,0.16006546861791912,0.23130434782608694,0.5978260869565217,165,276,False,False,0.3333333333333333
rhair_control_horizon_abs_bias,selection,mpc_co2_mae,0.39916865014648983,0.3478260869565217,0.6195652173913043,171,276,False,False,0.3333333333333333
rhair_control_horizon_abs_bias,selection,mpc_objective,0.18293032198207423,0.23391304347826083,0.5905797101449275,163,276,False,False,0.0
rhair_constraint_near_mae_proxy,selection,mpc_tair_mae,-0.6393258942432208,-0.5927375656538392,0.27636363636363637,76,275,False,False,0.0
rhair_constraint_near_mae_proxy,selection,mpc_rhair_mae,-0.10697911956961438,-0.16742770563222895,0.44363636363636366,122,275,False,False,0.0
rhair_constraint_near_mae_proxy,selection,mpc_co2_mae,0.15986338937319228,-0.026527506606664843,0.509090909090909,140,275,False,False,0.0
rhair_constraint_near_mae_proxy,selection,mpc_objective,-0.35056279114983874,-0.25701240007440856,0.4109090909090909,113,275,False,False,0.0
co2_first_step_mae,selection,mpc_tair_mae,-0.10521852857074487,-0.060447924890596944,0.48727272727272725,134,275,False,False,0.0
co2_first_step_mae,selection,mpc_rhair_mae,0.1025380741873144,0.14394433912796825,0.5527272727272727,152,275,False,False,0.3333333333333333
co2_first_step_mae,selection,mpc_co2_mae,-0.16759492523595537,0.16829745994720158,0.5490909090909091,151,275,False,True,0.6666666666666666
co2_first_step_mae,selection,mpc_objective,0.09290984065412689,0.053055013213329685,0.5163636363636364,142,275,False,False,0.0
co2_control_horizon_mae,selection,mpc_tair_mae,-0.12804422469059915,-0.05088062742589814,0.48727272727272725,134,275,False,False,0.3333333333333333
co2_control_horizon_mae,selection,mpc_rhair_mae,-0.03621934380111541,0.0056534030473220165,0.49454545454545457,136,275,False,False,0.0
co2_control_horizon_mae,selection,mpc_co2_mae,-0.20404350706807844,0.06131767920556956,0.49818181818181817,137,275,False,True,0.6666666666666666
co2_control_horizon_mae,selection,mpc_objective,-0.009141734298004658,-0.008697543149726178,0.5018181818181818,138,275,False,False,0.3333333333333333
co2_weighted_horizon_mae,selection,mpc_tair_mae,-0.1625367033847788,-0.07043478260869565,0.4673913043478261,129,276,False,True,0.6666666666666666
co2_weighted_horizon_mae,selection,mpc_rhair_mae,-0.19496514362521164,-0.11217391304347826,0.463768115942029,128,276,False,True,0.3333333333333333
co2_weighted_horizon_mae,selection,mpc_co2_mae,-0.24472114219205587,-0.08608695652173912,0.463768115942029,128,276,False,False,0.0
co2_weighted_horizon_mae,selection,mpc_objective,-0.15734008810539515,-0.06521739130434781,0.4855072463768116,134,276,False,False,0.6666666666666666
co2_full_horizon_mae,selection,mpc_tair_mae,-0.16073758561508344,-0.09130434782608696,0.463768115942029,128,276,False,True,0.6666666666666666
co2_full_horizon_mae,selection,mpc_rhair_mae,-0.21533298687805832,-0.12869565217391304,0.4528985507246377,125,276,False,True,0.3333333333333333
co2_full_horizon_mae,selection,mpc_co2_mae,-0.2552598194536939,-0.10956521739130433,0.4528985507246377,125,276,False,False,0.0
co2_full_horizon_mae,selection,mpc_objective,-0.17606648796268978,-0.08,0.4746376811594203,131,276,False,False,0.6666666666666666
co2_final_step_mae,selection,mpc_tair_mae,-0.15646031250202805,-0.11826086956521738,0.4673913043478261,129,276,False,False,0.3333333333333333
co2_final_step_mae,selection,mpc_rhair_mae,-0.24650596261380497,-0.18608695652173912,0.43478260869565216,120,276,False,False,0.0
co2_final_step_mae,selection,mpc_co2_mae,-0.2949173514635112,-0.24260869565217388,0.4057971014492754,112,276,False,False,0.0
co2_final_step_mae,selection,mpc_objective,-0.23432320908010104,-0.11739130434782606,0.463768115942029,128,276,False,False,0.3333333333333333
co2_control_horizon_abs_bias,selection,mpc_tair_mae,-0.30055888165573363,-0.3478260869565217,0.39855072463768115,110,276,False,False,0.0
co2_control_horizon_abs_bias,selection,mpc_rhair_mae,-0.3804107085413622,-0.3878260869565217,0.38768115942028986,107,276,False,False,0.0
co2_control_horizon_abs_bias,selection,mpc_co2_mae,-0.16356503423041432,0.07826086956521738,0.5181159420289855,143,276,False,True,0.6666666666666666
co2_control_horizon_abs_bias,selection,mpc_objective,-0.3411510189179312,-0.3817391304347826,0.38768115942028986,107,276,False,False,0.0
co2_constraint_near_mae_proxy,selection,mpc_tair_mae,-0.14564503819670138,-0.1678260869565217,0.4311594202898551,119,276,False,False,0.3333333333333333
co2_constraint_near_mae_proxy,selection,mpc_rhair_mae,-0.31780162607650775,-0.2434782608695652,0.42028985507246375,116,276,False,False,0.0
co2_constraint_near_mae_proxy,selection,mpc_co2_mae,-0.147168546976012,0.014782608695652172,0.5072463768115942,140,276,False,False,0.3333333333333333
co2_constraint_near_mae_proxy,selection,mpc_objective,-0.2433668272343612,-0.2295652173913043,0.42028985507246375,116,276,False,False,0.3333333333333333
forecast_only_transfer_rank,selection,mpc_tair_mae,-0.30245687260276494,-0.2773913043478261,0.41304347826086957,114,276,False,True,0.3333333333333333
forecast_only_transfer_rank,selection,mpc_rhair_mae,0.11668966192396461,0.08173913043478259,0.532608695652174,147,276,False,True,0.3333333333333333
forecast_only_transfer_rank,selection,mpc_co2_mae,0.16673394876499825,0.18956521739130433,0.5688405797101449,157,276,False,False,0.3333333333333333
forecast_only_transfer_rank,selection,mpc_objective,-0.02552786795492673,0.02608695652173913,0.5181159420289855,143,276,False,False,0.3333333333333333
tair_transfer_selection_score,selection,mpc_tair_mae,-0.16343582801102385,-0.07913043478260869,0.4855072463768116,134,276,False,False,0.0
tair_transfer_selection_score,selection,mpc_rhair_mae,0.268247714289268,0.2895652173913043,0.5978260869565217,165,276,False,False,0.3333333333333333
tair_transfer_selection_score,selection,mpc_co2_mae,0.20637127294397695,0.22869565217391302,0.5688405797101449,157,276,False,False,0.0
tair_transfer_selection_score,selection,mpc_objective,0.11116616324143055,0.19913043478260867,0.5833333333333334,161,276,False,False,0.0
rhair_transfer_selection_score,selection,mpc_tair_mae,0.1323127135846814,0.08,0.5217391304347826,144,276,False,True,0.3333333333333333
rhair_transfer_selection_score,selection,mpc_rhair_mae,0.4418083566924163,0.48086956521739127,0.6847826086956522,189,276,False,True,0.3333333333333333
rhair_transfer_selection_score,selection,mpc_co2_mae,0.3635885710770514,0.3391304347826086,0.6195652173913043,171,276,False,False,0.0
rhair_transfer_selection_score,selection,mpc_objective,0.3476592923110172,0.3678260869565217,0.6485507246376812,179,276,True,True,0.6666666666666666
co2_transfer_selection_score,selection,mpc_tair_mae,-0.16752742639508106,-0.10956521739130433,0.4673913043478261,129,276,False,False,0.3333333333333333
co2_transfer_selection_score,selection,mpc_rhair_mae,-0.10527027184865828,-0.03739130434782608,0.4855072463768116,134,276,False,False,0.0
co2_transfer_selection_score,selection,mpc_co2_mae,-0.01306277803430596,0.10173913043478258,0.5289855072463768,146,276,False,True,0.6666666666666666
co2_transfer_selection_score,selection,mpc_objective,-0.07849798396947705,-0.07913043478260869,0.4855072463768116,134,276,False,False,0.3333333333333333
multiobjective_transfer_selection_score,selection,mpc_tair_mae,-0.11184372520049958,-0.11959121830873495,0.4581818181818182,126,275,True,True,0.3333333333333333
multiobjective_transfer_selection_score,selection,mpc_rhair_mae,0.2801030138805246,0.2648401889091621,0.5963636363636363,164,275,True,True,0.3333333333333333
multiobjective_transfer_selection_score,selection,mpc_co2_mae,0.2635932954544505,0.3005001158230395,0.5927272727272728,163,275,False,False,0.3333333333333333
multiobjective_transfer_selection_score,selection,mpc_objective,0.17305141641770383,0.16742770563222895,0.5636363636363636,155,275,False,False,0.3333333333333333
cost_grad_mean_abs,diagnostic,mpc_tair_mae,-0.27050587089862954,-0.1678260869565217,,,,,,
cost_grad_mean_abs,diagnostic,mpc_rhair_mae,-0.06241079656257141,-0.046956521739130425,,,,,,
cost_grad_mean_abs,diagnostic,mpc_co2_mae,0.09874192811646672,-0.08173913043478259,,,,,,
cost_grad_mean_abs,diagnostic,mpc_objective,-0.16021644045988387,-0.033913043478260865,,,,,,
tair_first_grad_mean_abs,diagnostic,mpc_tair_mae,0.18716481358637296,0.18964769084197203,,,,,,
tair_first_grad_mean_abs,diagnostic,mpc_rhair_mae,0.041387047576954834,0.08438452298931784,,,,,,
tair_first_grad_mean_abs,diagnostic,mpc_co2_mae,-0.4169510897864777,-0.02174858839930872,,,,,,
tair_first_grad_mean_abs,diagnostic,mpc_objective,0.12599637439116837,0.22836017819274157,,,,,,
tair_t_heat_sp_first_grad,diagnostic,mpc_tair_mae,0.18572056042202256,0.29143108455073685,,,,,,
tair_t_heat_sp_first_grad,diagnostic,mpc_rhair_mae,0.26977368834401827,0.010439322431668186,,,,,,
tair_t_heat_sp_first_grad,diagnostic,mpc_co2_mae,-0.44534457875304007,-0.41061334897894863,,,,,,
tair_t_heat_sp_first_grad,diagnostic,mpc_objective,0.2739747166425119,0.17181384835453892,,,,,,
tair_t_vent_sp_first_grad,diagnostic,mpc_tair_mae,0.27136688694164623,0.25402351250392585,,,,,,
tair_t_vent_sp_first_grad,diagnostic,mpc_rhair_mae,-0.0011882657832078228,0.06872553934181555,,,,,,
tair_t_vent_sp_first_grad,diagnostic,mpc_co2_mae,-0.3279589769729249,-0.04523706387056214,,,,,,
tair_t_vent_sp_first_grad,diagnostic,mpc_objective,0.15072343934388038,0.231839952336631,,,,,,
tair_window_pos_lee_sp_first_grad,diagnostic,mpc_tair_mae,-0.3179875705620535,-0.3705959463242206,,,,,,
tair_window_pos_lee_sp_first_grad,diagnostic,mpc_rhair_mae,-0.2732995343779457,-0.36015662389255243,,,,,,
tair_window_pos_lee_sp_first_grad,diagnostic,mpc_co2_mae,-0.2730976905503592,-0.18442802962613797,,,,,,
tair_window_pos_lee_sp_first_grad,diagnostic,mpc_objective,-0.3376640224591445,-0.3971292241713772,,,,,,
