predictor,label,role,question,has_forecast_summary,has_gradient_mpc_summary,has_cem_mpc_summary,control_relevant_mean_rank,tair_full_mae,tair_final_mae,tair_full_r2,tair_final_r2,rhair_full_mae,rhair_final_mae,rhair_full_r2,rhair_final_r2,co2air_full_mae,co2air_final_mae,co2air_full_r2,co2air_final_r2,gradient_objective,gradient_tair_mae,gradient_rhair_mae,gradient_co2_mae,gradient_action_tv,cem_objective,cem_co2_mae,recorded_co2_mae,delta_co2_full_mae_vs_previous,delta_co2_final_mae_vs_previous
itransformer_residual,Residual,generic residual backbone baseline,Generic residual backbone,True,True,True,4.25,0.6178931593894958,0.6925746202468872,0.9493521451950073,0.9361594319343567,3.8024415969848633,4.412139892578125,0.9029703736305237,0.8745551109313965,51.16067123413086,52.01393508911133,0.7078222632408142,0.6947290897369385,0.19244779120587432,2.2164032459259033,5.675436496734619,11.531888008117676,5.345652793146049,0.2910486775411603,16.99641990661621,44.541996002197266,nan,nan
itransformer_co2_late_residual,Late residual,CO2-aware backbone,Does a CO2-aware late adapter help?,True,True,True,3.375,0.5953477621078491,0.6742703914642334,0.9502863883972168,0.9375431537628174,4.17210578918457,4.773751735687256,0.884880781173706,0.8531314730644226,47.796783447265625,50.139034271240234,0.7552667856216431,0.7312434911727905,0.07050508935935795,1.1533123254776,1.6179925203323364,10.124994277954102,5.7813414602229996,0.15964119070364782,22.497512817382812,54.1959342956543,-3.3638877868652344,-1.8749008178710938
itransformer_co2_frozen_expert,Frozen expert,naive frozen-expert fusion baseline,Does a frozen standalone expert help if blended directly?,True,False,False,nan,0.6009424924850464,0.672188937664032,0.9463295936584473,0.9351959824562073,5.471176624298096,5.956946849822998,0.7948678135871887,0.7629034519195557,46.96635818481445,59.24654769897461,0.7426916360855103,0.6105419397354126,nan,nan,nan,nan,nan,nan,nan,nan,-0.8304252624511719,9.107513427734375
itransformer_co2_late_frozen_expert,Late frozen expert,late-trust control baseline,Is horizon-dependent late trust useful?,True,True,True,2.875,0.6317799687385559,0.71262127161026,0.9459946155548096,0.9325716495513916,4.1168107986450195,4.762453556060791,0.8908326029777527,0.8579556345939636,44.72697448730469,57.193050384521484,0.7756803035736084,0.6292464733123779,0.1533443430865494,2.1916658878326416,4.315872669219971,6.297586917877197,5.426383615471423,0.2569384581875056,16.02803611755371,46.050445556640625,-2.2393836975097656,-2.053497314453125
itransformer_co2_teacher_distill,Teacher distill,distillation ablation,Is using the expert only as a teacher enough?,True,False,False,nan,0.6111845970153809,0.6822912096977234,0.9464293122291565,0.9339497089385986,4.178815841674805,4.8098554611206055,0.8729824423789978,0.841277003288269,56.018165588378906,57.29426193237305,0.6551127433776855,0.6406517624855042,nan,nan,nan,nan,nan,nan,nan,nan,11.291191101074219,0.1012115478515625
itransformer_co2_recoupled_expert,Recoupled expert,cross-target recoupling baseline,Does recoupling after expert correction improve control objective?,True,True,True,6.0,0.6873009204864502,0.7573720812797546,0.933946430683136,0.9208974838256836,4.521614074707031,5.079379558563232,0.8591262698173523,0.8276180028915405,47.58498001098633,58.05350875854492,0.753271758556366,0.6415956020355225,0.06509340515670677,0.8262977600097656,2.692016839981079,16.748781204223633,3.657334671045343,0.1339870877757979,12.758885383605957,54.62199020385742,-8.433185577392578,0.759246826171875
itransformer_co2_protected_expert,Protected expert,agreement-protection ablation,Is agreement protection useful?,True,False,False,nan,0.6603125929832458,0.7281191945075989,0.9430517554283142,0.9300493597984314,4.196917533874512,4.683369159698486,0.8828663229942322,0.8538249135017395,45.190185546875,55.9842414855957,0.7765352725982666,0.6410256624221802,nan,nan,nan,nan,nan,nan,nan,nan,-2.394794464111328,-2.0692672729492188
itransformer_co2_protected_terminal,Protected terminal,terminal-loss ablation,Is terminal loss alone enough?,True,False,False,nan,0.6140416264533997,0.7007794380187988,0.9489478468894958,0.933634877204895,4.323814392089844,4.945229530334473,0.8619898557662964,0.8275483846664429,48.055442810058594,52.05569839477539,0.7404274344444275,0.7069380283355713,nan,nan,nan,nan,nan,nan,nan,nan,2.8652572631835938,-3.9285430908203125
itransformer_co2_horizon_mixture,Horizon mixture,proposed offline PHF representative,Does protected horizon fusion with terminal pullback improve offline CO2?,True,True,True,5.5,0.6036641001701355,0.6894143223762512,0.9508112668991089,0.9374164342880249,3.8823201656341553,4.567509174346924,0.895832896232605,0.8615254163742065,43.90980529785156,47.6611213684082,0.7868136167526245,0.7467642426490784,0.37132372887572274,3.313380002975464,5.6956658363342285,28.695877075195312,6.061192812398076,0.4902983152035934,31.294219970703125,46.66657638549805,-4.145637512207031,-4.3945770263671875
itransformer_co2_frozen_backbone_horizon_mixture,Frozen-backbone mix,control-safety diagnostic,Does freezing the backbone improve MPC safety?,True,True,True,4.25,0.5953477621078491,0.6742703914642334,0.9502863883972168,0.9375431537628174,4.17210578918457,4.773751735687256,0.884880781173706,0.8531314730644226,46.33380889892578,50.139034271240234,0.772681474685669,0.7312435507774353,0.071759055989484,1.1583455801010132,1.6153751611709595,9.999581336975098,5.699217197485268,0.16316756355809048,25.26313018798828,54.1959342956543,2.4240036010742188,2.4779129028320312
